group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,1006477.0,ns,3821
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,2008473.0,ns,7642
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,3179285.0,ns,11463
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,3945281.0,ns,15284
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,5247004.0,ns,19105
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,5970218.0,ns,22926
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,6947778.0,ns,26747
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,7928001.0,ns,30568
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,8912281.0,ns,34389
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,9880976.0,ns,38210
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,10881875.0,ns,42031
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,11878748.0,ns,45852
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,12814997.0,ns,49673
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,13905770.0,ns,53494
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,14810043.0,ns,57315
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,15820129.0,ns,61136
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,16796588.0,ns,64957
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,17786787.0,ns,68778
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,18804842.0,ns,72599
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,19759984.0,ns,76420
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,20807228.0,ns,80241
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,21711863.0,ns,84062
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,22735654.0,ns,87883
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,23784215.0,ns,91704
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,24722492.0,ns,95525
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,25707328.0,ns,99346
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,26718392.0,ns,103167
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,27674194.0,ns,106988
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,28863929.0,ns,110809
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,29666050.0,ns,114630
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,30761287.0,ns,118451
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,31641661.0,ns,122272
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,32701593.0,ns,126093
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,33635740.0,ns,129914
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,34619867.0,ns,133735
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,35549440.0,ns,137556
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,36612526.0,ns,141377
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,37630638.0,ns,145198
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,38581745.0,ns,149019
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,39600704.0,ns,152840
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,40531056.0,ns,156661
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,41574542.0,ns,160482
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,42538996.0,ns,164303
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,43539734.0,ns,168124
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,44471854.0,ns,171945
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,45554376.0,ns,175766
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,46444647.0,ns,179587
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,47432504.0,ns,183408
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,48489702.0,ns,187229
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,50310983.0,ns,191050
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,50449603.0,ns,194871
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,51443547.0,ns,198692
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,52442846.0,ns,202513
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,53434560.0,ns,206334
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,54556354.0,ns,210155
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,55368389.0,ns,213976
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,56315309.0,ns,217797
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,57372413.0,ns,221618
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,58346338.0,ns,225439
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,59445546.0,ns,229260
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,60318143.0,ns,233081
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,61297548.0,ns,236902
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,62348691.0,ns,240723
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,63301301.0,ns,244544
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,64255823.0,ns,248365
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,65209097.0,ns,252186
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,66246466.0,ns,256007
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,67241834.0,ns,259828
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,68219580.0,ns,263649
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,69074985.0,ns,267470
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,70256757.0,ns,271291
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,71258036.0,ns,275112
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,72214203.0,ns,278933
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,73208292.0,ns,282754
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,74259165.0,ns,286575
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,75153941.0,ns,290396
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,76148504.0,ns,294217
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,77187958.0,ns,298038
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,78124565.0,ns,301859
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,79143756.0,ns,305680
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,80120134.0,ns,309501
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,81204904.0,ns,313322
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,82064186.0,ns,317143
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,83108805.0,ns,320964
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,20,20,bytes,84122828.0,ns,324785
