group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,1038027.0,ns,1076
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,1977922.0,ns,2152
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,3233728.0,ns,3228
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,4143070.0,ns,4304
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,4997518.0,ns,5380
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,5983594.0,ns,6456
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,6916392.0,ns,7532
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,7905535.0,ns,8608
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,8953014.0,ns,9684
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,9911269.0,ns,10760
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,10987630.0,ns,11836
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,11864992.0,ns,12912
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,12848304.0,ns,13988
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,13836595.0,ns,15064
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,14881058.0,ns,16140
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,15843281.0,ns,17216
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,16860585.0,ns,18292
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,17814100.0,ns,19368
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,18814275.0,ns,20444
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,19807227.0,ns,21520
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,20753391.0,ns,22596
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,21995890.0,ns,23672
decode_incomplete/all_bad/checked,encoding_rs 0.8.28,80,80,bytes,22739624.0,ns,24748
