group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,1116014.0,ns,271309
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,1962692.0,ns,542618
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,3156836.0,ns,813927
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,4173370.0,ns,1085236
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,4967066.0,ns,1356545
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,5890502.0,ns,1627854
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,6870528.0,ns,1899163
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,7852930.0,ns,2170472
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,9279739.0,ns,2441781
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,9924411.0,ns,2713090
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,10798360.0,ns,2984399
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,11901020.0,ns,3255708
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,13162187.0,ns,3527017
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,13756517.0,ns,3798326
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,14932707.0,ns,4069635
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,15745986.0,ns,4340944
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,16822206.0,ns,4612253
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,17791384.0,ns,4883562
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,18687376.0,ns,5154871
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,19854336.0,ns,5426180
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,20835609.0,ns,5697489
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,21800896.0,ns,5968798
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,22588446.0,ns,6240107
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,23780797.0,ns,6511416
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,25001937.0,ns,6782725
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,25743557.0,ns,7054034
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,26668689.0,ns,7325343
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,27830643.0,ns,7596652
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,28776771.0,ns,7867961
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,29542479.0,ns,8139270
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,31104885.0,ns,8410579
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,31633689.0,ns,8681888
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,32534499.0,ns,8953197
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,34053960.0,ns,9224506
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,35829686.0,ns,9495815
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,36152441.0,ns,9767124
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,36821395.0,ns,10038433
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,37677785.0,ns,10309742
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,38380200.0,ns,10581051
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,39860523.0,ns,10852360
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,40710527.0,ns,11123669
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,41583690.0,ns,11394978
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,42665784.0,ns,11666287
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,43570669.0,ns,11937596
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,44811472.0,ns,12208905
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,45619376.0,ns,12480214
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,46361750.0,ns,12751523
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,47610174.0,ns,13022832
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,48341066.0,ns,13294141
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,49663034.0,ns,13565450
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,50312173.0,ns,13836759
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,51299465.0,ns,14108068
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,52031978.0,ns,14379377
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,53674436.0,ns,14650686
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,54422790.0,ns,14921995
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,55495385.0,ns,15193304
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,56283777.0,ns,15464613
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,57513875.0,ns,15735922
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,58012549.0,ns,16007231
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,59352161.0,ns,16278540
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,61559816.0,ns,16549849
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,61385964.0,ns,16821158
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,62781597.0,ns,17092467
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,63193137.0,ns,17363776
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,64167630.0,ns,17635085
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,64808028.0,ns,17906394
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,66082905.0,ns,18177703
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,67330176.0,ns,18449012
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,68134019.0,ns,18720321
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,68775545.0,ns,18991630
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,69783363.0,ns,19262939
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,71660596.0,ns,19534248
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,72313066.0,ns,19805557
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,73273591.0,ns,20076866
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,73916759.0,ns,20348175
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,75499676.0,ns,20619484
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,76131319.0,ns,20890793
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,76931012.0,ns,21162102
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,78716340.0,ns,21433411
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,79476559.0,ns,21704720
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,80127454.0,ns,21976029
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,80969298.0,ns,22247338
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,82255400.0,ns,22518647
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,83263086.0,ns,22789956
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,84265022.0,ns,23061265
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,85142208.0,ns,23332574
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,86363252.0,ns,23603883
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,87110082.0,ns,23875192
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,88329411.0,ns,24146501
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,90016803.0,ns,24417810
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,89751757.0,ns,24689119
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,90889371.0,ns,24960428
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,93285100.0,ns,25231737
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,92944075.0,ns,25503046
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,93542951.0,ns,25774355
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,95295255.0,ns,26045664
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,95771569.0,ns,26316973
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,97138539.0,ns,26588282
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,98031794.0,ns,26859591
decode_incomplete/all_bad/checked,oem_cp 1.1.0,40,40,bytes,98914900.0,ns,27130900
