group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,1031433.0,ns,2065
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,1974195.0,ns,4130
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,3079272.0,ns,6195
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,4011123.0,ns,8260
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,5431695.0,ns,10325
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,6195692.0,ns,12390
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,6916798.0,ns,14455
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,7903336.0,ns,16520
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,8891347.0,ns,18585
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,9878984.0,ns,20650
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,10865684.0,ns,22715
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,11914631.0,ns,24780
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,12866391.0,ns,26845
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,13823072.0,ns,28910
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,14805467.0,ns,30975
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,15834791.0,ns,33040
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,16794886.0,ns,35105
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,17855293.0,ns,37170
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,18791264.0,ns,39235
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,19743756.0,ns,41300
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,40,40,bytes,20829223.0,ns,43365
