group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,1121705.0,ns,1076
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,1975637.0,ns,2152
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,3103737.0,ns,3228
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,3953456.0,ns,4304
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,5140055.0,ns,5380
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,6059955.0,ns,6456
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,7157081.0,ns,7532
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,7937588.0,ns,8608
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,8897197.0,ns,9684
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,10103473.0,ns,10760
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,10932336.0,ns,11836
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,11870857.0,ns,12912
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,12850683.0,ns,13988
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,13845175.0,ns,15064
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,14831553.0,ns,16140
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,15877074.0,ns,17216
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,16806330.0,ns,18292
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,17813087.0,ns,19368
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,18859628.0,ns,20444
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,19810254.0,ns,21520
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,20791078.0,ns,22596
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,21774192.0,ns,23672
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,22755511.0,ns,24748
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,23760827.0,ns,25824
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,24725809.0,ns,26900
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,25722969.0,ns,27976
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,26683716.0,ns,29052
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,27717323.0,ns,30128
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,28790241.0,ns,31204
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,29750490.0,ns,32280
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,30647321.0,ns,33356
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,31633051.0,ns,34432
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,32866035.0,ns,35508
decode_incomplete/all_bad/checked,rust-encoding 0.2.33,80,80,bytes,33607528.0,ns,36584
