group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,1018571.0,ns,76665
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,1990064.0,ns,153330
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,3017926.0,ns,229995
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,4001300.0,ns,306660
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,4844120.0,ns,383325
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,5968542.0,ns,459990
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,7422701.0,ns,536655
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,8249996.0,ns,613320
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,8825024.0,ns,689985
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,9941595.0,ns,766650
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,10935811.0,ns,843315
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,11952894.0,ns,919980
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,12818508.0,ns,996645
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,13896912.0,ns,1073310
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,14762142.0,ns,1149975
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,15873616.0,ns,1226640
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,17005317.0,ns,1303305
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,17661570.0,ns,1379970
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,18873701.0,ns,1456635
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,19801400.0,ns,1533300
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,20812868.0,ns,1609965
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,21503863.0,ns,1686630
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,22932023.0,ns,1763295
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,23981630.0,ns,1839960
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,24719174.0,ns,1916625
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,25560686.0,ns,1993290
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,26222267.0,ns,2069955
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,27272648.0,ns,2146620
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,28229805.0,ns,2223285
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,29341023.0,ns,2299950
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,30564106.0,ns,2376615
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,31315066.0,ns,2453280
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,32412150.0,ns,2529945
decode_incomplete/all_bad/checked,yore 0.1.0,320,320,bytes,33853469.0,ns,2606610
