group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,1014587.0,ns,2064
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,1975088.0,ns,4128
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,2964298.0,ns,6192
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,3951690.0,ns,8256
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,4971586.0,ns,10320
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,5960630.0,ns,12384
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,7159050.0,ns,14448
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,8089138.0,ns,16512
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,8919913.0,ns,18576
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,9881006.0,ns,20640
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,11382578.0,ns,22704
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,11913600.0,ns,24768
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,12847708.0,ns,26832
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,13841737.0,ns,28896
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,14824009.0,ns,30960
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,15808044.0,ns,33024
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,16795503.0,ns,35088
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,17782376.0,ns,37152
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,18803505.0,ns,39216
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,19786557.0,ns,41280
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,20757631.0,ns,43344
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,21733943.0,ns,45408
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,22726881.0,ns,47472
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,23715925.0,ns,49536
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,24760210.0,ns,51600
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,25689995.0,ns,53664
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,27307383.0,ns,55728
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,28703549.0,ns,57792
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,28736397.0,ns,59856
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,29629414.0,ns,61920
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,30640009.0,ns,63984
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,31613175.0,ns,66048
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,32650163.0,ns,68112
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,33651148.0,ns,70176
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,34588951.0,ns,72240
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,36135374.0,ns,74304
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,36647160.0,ns,76368
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,37581835.0,ns,78432
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,38537298.0,ns,80496
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,39565356.0,ns,82560
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,40529444.0,ns,84624
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,41539084.0,ns,86688
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,42500222.0,ns,88752
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,43465505.0,ns,90816
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,44457753.0,ns,92880
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,45528220.0,ns,94944
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,46487225.0,ns,97008
decode_incomplete/all_bad/lossy,encoding_rs 0.8.28,40,40,bytes,47469606.0,ns,99072
