group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,1005079.0,ns,1174
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,1956025.0,ns,2348
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,2934808.0,ns,3522
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,3906232.0,ns,4696
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,4910255.0,ns,5870
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,5865824.0,ns,7044
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,6865191.0,ns,8218
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,7879701.0,ns,9392
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,8808832.0,ns,10566
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,9857042.0,ns,11740
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,10750018.0,ns,12914
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,11736045.0,ns,14088
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,12727843.0,ns,15262
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,13665579.0,ns,16436
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,14605955.0,ns,17610
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,15612174.0,ns,18784
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,16586792.0,ns,19958
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,17607823.0,ns,21132
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,18479303.0,ns,22306
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,19492306.0,ns,23480
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,20478834.0,ns,24654
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,21396975.0,ns,25828
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,22575107.0,ns,27002
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,23454261.0,ns,28176
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,24534006.0,ns,29350
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,25446529.0,ns,30524
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,26294457.0,ns,31698
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,27275149.0,ns,32872
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,28216165.0,ns,34046
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,29233219.0,ns,35220
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,30345772.0,ns,36394
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,31211158.0,ns,37568
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,32399770.0,ns,38742
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,33252204.0,ns,39916
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,34281961.0,ns,41090
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,35194588.0,ns,42264
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,36224253.0,ns,43438
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,37103405.0,ns,44612
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,38055294.0,ns,45786
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,39165690.0,ns,46960
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,40093720.0,ns,48134
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,41216098.0,ns,49308
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,42087215.0,ns,50482
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,43075813.0,ns,51656
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,43963641.0,ns,52830
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,45039828.0,ns,54004
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,45921280.0,ns,55178
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,47066373.0,ns,56352
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,47853770.0,ns,57526
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,48857494.0,ns,58700
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,49767436.0,ns,59874
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,50963344.0,ns,61048
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,51875986.0,ns,62222
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,52794434.0,ns,63396
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,53629416.0,ns,64570
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,54804479.0,ns,65744
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,55699146.0,ns,66918
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,56799750.0,ns,68092
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,160,160,bytes,57652341.0,ns,69266
