group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,998336.0,ns,3278
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,1954426.0,ns,6556
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,2927977.0,ns,9834
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,3910398.0,ns,13112
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,4928495.0,ns,16390
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,5865926.0,ns,19668
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,7191511.0,ns,22946
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,7950921.0,ns,26224
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,8909235.0,ns,29502
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,9861316.0,ns,32780
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,10877476.0,ns,36058
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,11874601.0,ns,39336
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,12886833.0,ns,42614
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,13811250.0,ns,45892
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,14760645.0,ns,49170
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,15802928.0,ns,52448
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,16702737.0,ns,55726
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,17687749.0,ns,59004
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,18564274.0,ns,62282
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,19749885.0,ns,65560
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,20753767.0,ns,68838
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,21749493.0,ns,72116
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,22790970.0,ns,75394
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,23649430.0,ns,78672
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,24737142.0,ns,81950
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,25569029.0,ns,85228
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,26709771.0,ns,88506
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,27658971.0,ns,91784
decode_incomplete/all_bad/lossy,oem_cp 1.1.0,40,40,bytes,28541365.0,ns,95062
