group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,1145861.0,ns,549
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,1974415.0,ns,1098
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,3088710.0,ns,1647
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,3985516.0,ns,2196
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,5304153.0,ns,2745
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,6123446.0,ns,3294
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,6940326.0,ns,3843
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,7927388.0,ns,4392
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,8909338.0,ns,4941
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,9960206.0,ns,5490
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,10857897.0,ns,6039
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,11909746.0,ns,6588
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,12894797.0,ns,7137
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,13911704.0,ns,7686
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,14941736.0,ns,8235
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,15846919.0,ns,8784
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,16852254.0,ns,9333
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,17799440.0,ns,9882
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,18817893.0,ns,10431
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,19772218.0,ns,10980
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,20779806.0,ns,11529
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,21887182.0,ns,12078
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,22735284.0,ns,12627
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,23720880.0,ns,13176
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,24711836.0,ns,13725
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,25672894.0,ns,14274
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,26865503.0,ns,14823
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,27777350.0,ns,15372
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,28682840.0,ns,15921
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,29651432.0,ns,16470
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,30642518.0,ns,17019
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,31762289.0,ns,17568
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,32616945.0,ns,18117
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,33610974.0,ns,18666
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,34583551.0,ns,19215
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,35593170.0,ns,19764
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,36559030.0,ns,20313
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,37615177.0,ns,20862
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,38728945.0,ns,21411
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,39495567.0,ns,21960
decode_incomplete/all_bad/lossy,rust-encoding 0.2.33,160,160,bytes,40510224.0,ns,22509
