group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,1104759.0,ns,4357
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,2016885.0,ns,8714
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,3174456.0,ns,13071
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,3985274.0,ns,17428
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,4988711.0,ns,21785
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,5960340.0,ns,26142
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,7064521.0,ns,30499
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,7899597.0,ns,34856
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,8895398.0,ns,39213
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,9954035.0,ns,43570
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,10863398.0,ns,47927
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,11854993.0,ns,52284
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,12857443.0,ns,56641
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,13947542.0,ns,60998
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,14806223.0,ns,65355
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,15806108.0,ns,69712
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,16826559.0,ns,74069
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,17858523.0,ns,78426
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,18745095.0,ns,82783
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,19620536.0,ns,87140
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,20603696.0,ns,91497
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,21586521.0,ns,95854
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,22566508.0,ns,100211
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,23546335.0,ns,104568
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,24667958.0,ns,108925
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,25766900.0,ns,113282
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,26673512.0,ns,117639
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,27696580.0,ns,121996
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,28782907.0,ns,126353
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,29749006.0,ns,130710
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,30613792.0,ns,135067
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,31600738.0,ns,139424
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,32652797.0,ns,143781
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,33702323.0,ns,148138
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,34702453.0,ns,152495
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,35655887.0,ns,156852
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,36592149.0,ns,161209
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,37745748.0,ns,165566
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,38615494.0,ns,169923
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,39510934.0,ns,174280
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,40735609.0,ns,178637
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,41532886.0,ns,182994
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,42597678.0,ns,187351
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,43591700.0,ns,191708
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,44365897.0,ns,196065
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,45344233.0,ns,200422
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,46619659.0,ns,204779
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,47687724.0,ns,209136
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,48499036.0,ns,213493
decode_incomplete/all_bad/lossy,yore 0.1.0,320,320,bytes,49436934.0,ns,217850
