group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,1013224.0,ns,14639
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,1973101.0,ns,29278
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,2960152.0,ns,43917
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,3945142.0,ns,58556
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,4965551.0,ns,73195
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,5917290.0,ns,87834
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,7295173.0,ns,102473
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,8023460.0,ns,117112
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,8987514.0,ns,131751
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,9907593.0,ns,146390
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,10878263.0,ns,161029
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,11897534.0,ns,175668
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,13537468.0,ns,190307
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,13828678.0,ns,204946
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,14877925.0,ns,219585
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,15798411.0,ns,234224
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,16775856.0,ns,248863
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,17810454.0,ns,263502
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,18833575.0,ns,278141
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,20113006.0,ns,292780
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,20861645.0,ns,307419
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,21728562.0,ns,322058
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,22739650.0,ns,336697
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,24148626.0,ns,351336
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,24751886.0,ns,365975
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,25706797.0,ns,380614
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,26709082.0,ns,395253
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,27648321.0,ns,409892
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,28755725.0,ns,424531
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,29639087.0,ns,439170
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,30605041.0,ns,453809
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,31582640.0,ns,468448
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,32648085.0,ns,483087
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,33827230.0,ns,497726
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,34783261.0,ns,512365
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,35754988.0,ns,527004
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,36574298.0,ns,541643
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,37514149.0,ns,556282
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,38469703.0,ns,570921
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,39482814.0,ns,585560
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,40550577.0,ns,600199
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,42048389.0,ns,614838
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,42497457.0,ns,629477
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,43485221.0,ns,644116
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,44569017.0,ns,658755
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,45532273.0,ns,673394
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,46412733.0,ns,688033
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,47409981.0,ns,702672
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,48401266.0,ns,717311
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,49389865.0,ns,731950
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,50345102.0,ns,746589
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,51507895.0,ns,761228
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,52506705.0,ns,775867
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,53360902.0,ns,790506
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,54884880.0,ns,805145
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,55375593.0,ns,819784
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,56430204.0,ns,834423
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,57244031.0,ns,849062
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,58210006.0,ns,863701
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,59401363.0,ns,878340
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,60369702.0,ns,892979
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,61172768.0,ns,907618
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,62280778.0,ns,922257
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,63205327.0,ns,936896
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,64885631.0,ns,951535
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,65376776.0,ns,966174
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,66118147.0,ns,980813
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,67249297.0,ns,995452
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,70271562.0,ns,1010091
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,69410199.0,ns,1024730
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,70078356.0,ns,1039369
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,71217441.0,ns,1054008
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,72212202.0,ns,1068647
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,73710439.0,ns,1083286
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,74164325.0,ns,1097925
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,75127748.0,ns,1112564
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,76099031.0,ns,1127203
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,76984669.0,ns,1141842
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,78047795.0,ns,1156481
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,79009475.0,ns,1171120
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,79963337.0,ns,1185759
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,81592217.0,ns,1200398
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,82075221.0,ns,1215037
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,82887658.0,ns,1229676
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,84160211.0,ns,1244315
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,84991860.0,ns,1258954
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,85867601.0,ns,1273593
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,87047101.0,ns,1288232
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,88487546.0,ns,1302871
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,88833834.0,ns,1317510
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,89950895.0,ns,1332149
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,90817495.0,ns,1346788
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,91839388.0,ns,1361427
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,93018340.0,ns,1376066
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,94434627.0,ns,1390705
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,94858209.0,ns,1405344
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,95956147.0,ns,1419983
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,96705723.0,ns,1434622
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,97970928.0,ns,1449261
decode_incomplete/all_bad/lossy,yore 0.1.0,80,80,bytes,98931588.0,ns,1463900
