group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,1047421.0,ns,72927
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,2048794.0,ns,145854
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,2886064.0,ns,218781
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,3849294.0,ns,291708
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,4899678.0,ns,364635
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,6175722.0,ns,437562
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,7380526.0,ns,510489
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,8460566.0,ns,583416
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,9392486.0,ns,656343
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,9653878.0,ns,729270
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,10939085.0,ns,802197
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,11784454.0,ns,875124
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,12981268.0,ns,948051
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,13748952.0,ns,1020978
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,14906216.0,ns,1093905
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,16009537.0,ns,1166832
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,16954057.0,ns,1239759
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,17809414.0,ns,1312686
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,18812679.0,ns,1385613
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,19731036.0,ns,1458540
decode_incomplete/ascii,encoding_rs 0.8.28,320,320,bytes,20779189.0,ns,1531467
