group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,1013671.0,ns,92783
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,1975545.0,ns,185566
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,2961160.0,ns,278349
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,3949338.0,ns,371132
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,4964217.0,ns,463915
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,5923514.0,ns,556698
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,7250810.0,ns,649481
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,8041320.0,ns,742264
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,9021395.0,ns,835047
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,9873995.0,ns,927830
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,10859769.0,ns,1020613
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,11847857.0,ns,1113396
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,12835072.0,ns,1206179
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,13879995.0,ns,1298962
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,14840489.0,ns,1391745
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,15853389.0,ns,1484528
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,16841798.0,ns,1577311
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,17771817.0,ns,1670094
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,18848300.0,ns,1762877
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,19746765.0,ns,1855660
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,20771814.0,ns,1948443
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,21749200.0,ns,2041226
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,22707592.0,ns,2134009
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,24219403.0,ns,2226792
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,24734039.0,ns,2319575
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,25671091.0,ns,2412358
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,26711624.0,ns,2505141
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,27703249.0,ns,2597924
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,28686749.0,ns,2690707
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,29682689.0,ns,2783490
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,30660187.0,ns,2876273
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,31656790.0,ns,2969056
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,32582142.0,ns,3061839
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,33598649.0,ns,3154622
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,34591622.0,ns,3247405
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,35633731.0,ns,3340188
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,36704480.0,ns,3432971
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,37583119.0,ns,3525754
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,38568465.0,ns,3618537
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,39493804.0,ns,3711320
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,40553434.0,ns,3804103
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,41834451.0,ns,3896886
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,42675705.0,ns,3989669
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,43537302.0,ns,4082452
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,44465239.0,ns,4175235
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,45527958.0,ns,4268018
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,46433292.0,ns,4360801
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,47457306.0,ns,4453584
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,48465921.0,ns,4546367
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,49414484.0,ns,4639150
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,50380967.0,ns,4731933
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,51444890.0,ns,4824716
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,55719573.0,ns,4917499
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,53767597.0,ns,5010282
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,54865299.0,ns,5103065
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,55482964.0,ns,5195848
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,56278449.0,ns,5288631
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,57405424.0,ns,5381414
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,58300454.0,ns,5474197
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,59321507.0,ns,5566980
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,60291002.0,ns,5659763
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,61307916.0,ns,5752546
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,62298816.0,ns,5845329
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,63273094.0,ns,5938112
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,64860723.0,ns,6030895
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,65313550.0,ns,6123678
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,66296798.0,ns,6216461
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,67146426.0,ns,6309244
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,68263230.0,ns,6402027
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,69264276.0,ns,6494810
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,70120487.0,ns,6587593
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,71204606.0,ns,6680376
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,72136275.0,ns,6773159
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,73652665.0,ns,6865942
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,74112748.0,ns,6958725
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,75153387.0,ns,7051508
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,76296848.0,ns,7144291
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,77105035.0,ns,7237074
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,78060977.0,ns,7329857
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,79075646.0,ns,7422640
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,80009747.0,ns,7515423
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,81640379.0,ns,7608206
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,82062691.0,ns,7700989
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,83031128.0,ns,7793772
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,83926533.0,ns,7886555
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,85118338.0,ns,7979338
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,85941254.0,ns,8072121
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,87067061.0,ns,8164904
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,88356751.0,ns,8257687
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,88995666.0,ns,8350470
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,89960561.0,ns,8443253
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,91044549.0,ns,8536036
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,91850045.0,ns,8628819
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,93005805.0,ns,8721602
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,94500799.0,ns,8814385
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,94930789.0,ns,8907168
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,95908539.0,ns,8999951
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,96893911.0,ns,9092734
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,97831596.0,ns,9185517
decode_incomplete/ascii,encoding_rs 0.8.28,80,80,bytes,99277945.0,ns,9278300
