group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,989844.0,ns,8934
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,2038583.0,ns,17868
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,3020893.0,ns,26802
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,3923660.0,ns,35736
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,5054116.0,ns,44670
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,6058377.0,ns,53604
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,7305161.0,ns,62538
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,8183329.0,ns,71472
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,8857768.0,ns,80406
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,10038142.0,ns,89340
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,10811853.0,ns,98274
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,11832302.0,ns,107208
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,12981563.0,ns,116142
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,14110075.0,ns,125076
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,14697713.0,ns,134010
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,16031920.0,ns,142944
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,16703368.0,ns,151878
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,17759231.0,ns,160812
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,18671204.0,ns,169746
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,19864109.0,ns,178680
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,20717009.0,ns,187614
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,21916470.0,ns,196548
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,22815204.0,ns,205482
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,23559477.0,ns,214416
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,24664242.0,ns,223350
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,25959506.0,ns,232284
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,26847089.0,ns,241218
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,27593895.0,ns,250152
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,28877717.0,ns,259086
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,29514053.0,ns,268020
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,30949725.0,ns,276954
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,32583003.0,ns,285888
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,32841692.0,ns,294822
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,33853842.0,ns,303756
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,34862325.0,ns,312690
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,35316981.0,ns,321624
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,36981958.0,ns,330558
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,37581989.0,ns,339492
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,38621047.0,ns,348426
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,39375182.0,ns,357360
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,40726361.0,ns,366294
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,41921209.0,ns,375228
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,42123542.0,ns,384162
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,43552553.0,ns,393096
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,44298991.0,ns,402030
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,44970616.0,ns,410964
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,46928562.0,ns,419898
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,47764002.0,ns,428832
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,48419250.0,ns,437766
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,49343403.0,ns,446700
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,50108276.0,ns,455634
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,51373945.0,ns,464568
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,52380331.0,ns,473502
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,53310720.0,ns,482436
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,54077732.0,ns,491370
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,55242073.0,ns,500304
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,56204124.0,ns,509238
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,57337912.0,ns,518172
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,59106669.0,ns,527106
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,58952006.0,ns,536040
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,60441679.0,ns,544974
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,61654781.0,ns,553908
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,62286364.0,ns,562842
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,63599012.0,ns,571776
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,64109412.0,ns,580710
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,64432797.0,ns,589644
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,66005762.0,ns,598578
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,67672634.0,ns,607512
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,68303107.0,ns,616446
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,69478546.0,ns,625380
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,69981780.0,ns,634314
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,71308191.0,ns,643248
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,72234177.0,ns,652182
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,73730744.0,ns,661116
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,74515968.0,ns,670050
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,74944788.0,ns,678984
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,76611928.0,ns,687918
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,77448207.0,ns,696852
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,77843711.0,ns,705786
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,79223779.0,ns,714720
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,80400743.0,ns,723654
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,80934120.0,ns,732588
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,82470331.0,ns,741522
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,83861611.0,ns,750456
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,84537510.0,ns,759390
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,85128647.0,ns,768324
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,85803134.0,ns,777258
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,86738421.0,ns,786192
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,88101395.0,ns,795126
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,88936291.0,ns,804060
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,90491461.0,ns,812994
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,91223847.0,ns,821928
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,91948068.0,ns,830862
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,92807911.0,ns,839796
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,93791804.0,ns,848730
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,94979355.0,ns,857664
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,95816236.0,ns,866598
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,98048072.0,ns,875532
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,97961958.0,ns,884466
decode_incomplete/ascii,oem_cp 1.1.0,20,20,bytes,99146239.0,ns,893400
