group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,1137176.0,ns,3822
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,2022079.0,ns,7644
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,3034751.0,ns,11466
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,3993354.0,ns,15288
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,4902289.0,ns,19110
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,6005808.0,ns,22932
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,6870658.0,ns,26754
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,7941841.0,ns,30576
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,8859789.0,ns,34398
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,9753640.0,ns,38220
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,11002128.0,ns,42042
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,11908400.0,ns,45864
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,12766672.0,ns,49686
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,13872075.0,ns,53508
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,14900291.0,ns,57330
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,15717420.0,ns,61152
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,16847273.0,ns,64974
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,17709321.0,ns,68796
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,18951652.0,ns,72618
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,19819507.0,ns,76440
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,20778007.0,ns,80262
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,21832558.0,ns,84084
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,22671275.0,ns,87906
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,23687462.0,ns,91728
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,24585851.0,ns,95550
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,25580389.0,ns,99372
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,26862613.0,ns,103194
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,27611724.0,ns,107016
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,28829108.0,ns,110838
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,29440645.0,ns,114660
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,30604793.0,ns,118482
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,31511398.0,ns,122304
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,32609948.0,ns,126126
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,33655487.0,ns,129948
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,34662377.0,ns,133770
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,35853278.0,ns,137592
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,36764291.0,ns,141414
decode_incomplete/ascii,oem_cp 1.1.0,80,80,bytes,37555231.0,ns,145236
