group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,1038526.0,ns,91016
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,1975258.0,ns,182032
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,3001553.0,ns,273048
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,4070015.0,ns,364064
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,5024809.0,ns,455080
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,5928150.0,ns,546096
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,6944179.0,ns,637112
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,7929997.0,ns,728128
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,8903320.0,ns,819144
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,9931104.0,ns,910160
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,10895994.0,ns,1001176
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,11870731.0,ns,1092192
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,12842486.0,ns,1183208
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,13837120.0,ns,1274224
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,14844610.0,ns,1365240
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,15833147.0,ns,1456256
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,16993003.0,ns,1547272
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,17788405.0,ns,1638288
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,18771078.0,ns,1729304
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,19768536.0,ns,1820320
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,20746163.0,ns,1911336
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,21772498.0,ns,2002352
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,22722040.0,ns,2093368
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,23843937.0,ns,2184384
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,24971433.0,ns,2275400
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,25790912.0,ns,2366416
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,26685581.0,ns,2457432
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,27829770.0,ns,2548448
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,28902680.0,ns,2639464
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,29700164.0,ns,2730480
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,30626662.0,ns,2821496
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,31619629.0,ns,2912512
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,32688857.0,ns,3003528
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,34549483.0,ns,3094544
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,34641761.0,ns,3185560
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,35711326.0,ns,3276576
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,36611972.0,ns,3367592
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,37547315.0,ns,3458608
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,38599448.0,ns,3549624
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,39614437.0,ns,3640640
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,40557642.0,ns,3731656
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,41606113.0,ns,3822672
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,43077707.0,ns,3913688
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,43473174.0,ns,4004704
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,44490462.0,ns,4095720
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,45573488.0,ns,4186736
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,46465242.0,ns,4277752
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,47651508.0,ns,4368768
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,48466320.0,ns,4459784
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,49458268.0,ns,4550800
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,50390502.0,ns,4641816
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,51467609.0,ns,4732832
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,52503313.0,ns,4823848
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,53462687.0,ns,4914864
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,54729106.0,ns,5005880
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,55468594.0,ns,5096896
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,56769293.0,ns,5187912
decode_incomplete/ascii,rust-encoding 0.2.33,40,40,bytes,57420282.0,ns,5278928
