group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,1199549.0,ns,96593
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,2067255.0,ns,193186
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,3120821.0,ns,289779
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,3991435.0,ns,386372
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,5333228.0,ns,482965
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,6096339.0,ns,579558
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,6935669.0,ns,676151
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,8010487.0,ns,772744
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,9339779.0,ns,869337
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,9971221.0,ns,965930
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,10951095.0,ns,1062523
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,11871080.0,ns,1159116
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,12827675.0,ns,1255709
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,13819459.0,ns,1352302
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,14802473.0,ns,1448895
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,15794409.0,ns,1545488
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,16810692.0,ns,1642081
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,17942863.0,ns,1738674
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,18776900.0,ns,1835267
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,19768162.0,ns,1931860
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,20776474.0,ns,2028453
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,21714980.0,ns,2125046
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,22779138.0,ns,2221639
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,23708957.0,ns,2318232
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,24668844.0,ns,2414825
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,25688224.0,ns,2511418
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,26722899.0,ns,2608011
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,27656586.0,ns,2704604
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,28673587.0,ns,2801197
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,29682933.0,ns,2897790
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,30728904.0,ns,2994383
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,31605629.0,ns,3090976
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,32626470.0,ns,3187569
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,33603639.0,ns,3284162
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,34536008.0,ns,3380755
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,35558806.0,ns,3477348
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,36596704.0,ns,3573941
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,37641321.0,ns,3670534
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,38602340.0,ns,3767127
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,39473145.0,ns,3863720
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,40515956.0,ns,3960313
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,41524660.0,ns,4056906
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,42434940.0,ns,4153499
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,43579352.0,ns,4250092
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,44458111.0,ns,4346685
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,45475774.0,ns,4443278
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,46430409.0,ns,4539871
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,47463011.0,ns,4636464
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,48489706.0,ns,4733057
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,49482669.0,ns,4829650
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,50327388.0,ns,4926243
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,51404898.0,ns,5022836
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,52356880.0,ns,5119429
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,53445341.0,ns,5216022
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,54379572.0,ns,5312615
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,55291406.0,ns,5409208
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,56274584.0,ns,5505801
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,57289551.0,ns,5602394
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,58343452.0,ns,5698987
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,59264086.0,ns,5795580
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,60278092.0,ns,5892173
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,61301202.0,ns,5988766
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,62420675.0,ns,6085359
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,63252600.0,ns,6181952
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,64341272.0,ns,6278545
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,65259378.0,ns,6375138
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,66231217.0,ns,6471731
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,67153324.0,ns,6568324
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,68518399.0,ns,6664917
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,69154484.0,ns,6761510
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,70223571.0,ns,6858103
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,71111906.0,ns,6954696
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,72122949.0,ns,7051289
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,73110342.0,ns,7147882
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,74090988.0,ns,7244475
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,75053006.0,ns,7341068
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,76224433.0,ns,7437661
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,78235444.0,ns,7534254
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,78153437.0,ns,7630847
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,79125193.0,ns,7727440
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,80227055.0,ns,7824033
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,80983936.0,ns,7920626
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,82012478.0,ns,8017219
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,83074014.0,ns,8113812
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,84016719.0,ns,8210405
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,84946037.0,ns,8306998
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,86078789.0,ns,8403591
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,86994145.0,ns,8500184
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,88204380.0,ns,8596777
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,88890007.0,ns,8693370
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,90154625.0,ns,8789963
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,91012540.0,ns,8886556
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,91880721.0,ns,8983149
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,92853588.0,ns,9079742
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,94043037.0,ns,9176335
decode_incomplete/ascii,rust-encoding 0.2.33,80,80,bytes,94847115.0,ns,9272928
