group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,1146959.0,ns,308498
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,2180224.0,ns,616996
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,3301258.0,ns,925494
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,3984185.0,ns,1233992
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,4968869.0,ns,1542490
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,5957164.0,ns,1850988
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,6927119.0,ns,2159486
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,7970952.0,ns,2467984
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,8897712.0,ns,2776482
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,9875875.0,ns,3084980
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,10864157.0,ns,3393478
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,11851412.0,ns,3701976
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,12838737.0,ns,4010474
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,13869610.0,ns,4318972
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,14816393.0,ns,4627470
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,15909494.0,ns,4935968
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,16794949.0,ns,5244466
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,17871680.0,ns,5552964
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,18764881.0,ns,5861462
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,19752416.0,ns,6169960
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,20743691.0,ns,6478458
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,21733438.0,ns,6786956
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,22716166.0,ns,7095454
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,23721803.0,ns,7403952
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,24689994.0,ns,7712450
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,25687350.0,ns,8020948
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,26671793.0,ns,8329446
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,27733895.0,ns,8637944
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,28705391.0,ns,8946442
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,29663209.0,ns,9254940
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,30615165.0,ns,9563438
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,31603971.0,ns,9871936
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,32619190.0,ns,10180434
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,33638440.0,ns,10488932
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,34574944.0,ns,10797430
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,35641741.0,ns,11105928
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,36676056.0,ns,11414426
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,37528803.0,ns,11722924
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,38534448.0,ns,12031422
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,39549736.0,ns,12339920
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,40560521.0,ns,12648418
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,41599257.0,ns,12956916
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,42555202.0,ns,13265414
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,43470878.0,ns,13573912
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,44469423.0,ns,13882410
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,45523333.0,ns,14190908
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,46427263.0,ns,14499406
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,47490716.0,ns,14807904
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,48531963.0,ns,15116402
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,49390379.0,ns,15424900
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,50369053.0,ns,15733398
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,51410168.0,ns,16041896
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,52507093.0,ns,16350394
decode_incomplete/ascii,yore 0.1.0,40,40,bytes,53372315.0,ns,16658892
