group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,1043694.0,ns,210800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,1973470.0,ns,421600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,2961421.0,ns,632400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,3951794.0,ns,843200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,4961472.0,ns,1054000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,5922627.0,ns,1264800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,7248277.0,ns,1475600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,7977275.0,ns,1686400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,9023851.0,ns,1897200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,9869471.0,ns,2108000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,10928350.0,ns,2318800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,11844770.0,ns,2529600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,12857462.0,ns,2740400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,13818789.0,ns,2951200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,14860893.0,ns,3162000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,15792127.0,ns,3372800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,16778830.0,ns,3583600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,17924548.0,ns,3794400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,19041015.0,ns,4005200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,19744961.0,ns,4216000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,20726779.0,ns,4426800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,21740354.0,ns,4637600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,22760813.0,ns,4848400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,23693728.0,ns,5059200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,24678470.0,ns,5270000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,25688385.0,ns,5480800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,26708558.0,ns,5691600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,28029149.0,ns,5902400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,28757449.0,ns,6113200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,29751945.0,ns,6324000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,30598393.0,ns,6534800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,31614066.0,ns,6745600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,32597433.0,ns,6956400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,33562585.0,ns,7167200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,34574643.0,ns,7378000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,35671104.0,ns,7588800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,36719609.0,ns,7799600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,37509706.0,ns,8010400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,38523110.0,ns,8221200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,39515221.0,ns,8432000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,40521387.0,ns,8642800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,41566028.0,ns,8853600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,42725046.0,ns,9064400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,43460227.0,ns,9275200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,45056763.0,ns,9486000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,45405178.0,ns,9696800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,46395655.0,ns,9907600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,47432892.0,ns,10118400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,48619644.0,ns,10329200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,49353186.0,ns,10540000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,50400302.0,ns,10750800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,51381763.0,ns,10961600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,52379855.0,ns,11172400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,53496868.0,ns,11383200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,54322322.0,ns,11594000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,55355033.0,ns,11804800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,57006682.0,ns,12015600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,57494748.0,ns,12226400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,58263773.0,ns,12437200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,59256036.0,ns,12648000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,60298602.0,ns,12858800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,61345534.0,ns,13069600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,62263472.0,ns,13280400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,63205110.0,ns,13491200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,64214609.0,ns,13702000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,65289594.0,ns,13912800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,66834649.0,ns,14123600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,67175848.0,ns,14334400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,68153897.0,ns,14545200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,69347867.0,ns,14756000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,70084572.0,ns,14966800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,71201495.0,ns,15177600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,72268162.0,ns,15388400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,73291344.0,ns,15599200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,74728102.0,ns,15810000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,75164543.0,ns,16020800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,76336075.0,ns,16231600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,77022021.0,ns,16442400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,78190752.0,ns,16653200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,79184111.0,ns,16864000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,80006793.0,ns,17074800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,81027092.0,ns,17285600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,82595937.0,ns,17496400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,83029115.0,ns,17707200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,84012730.0,ns,17918000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,86048185.0,ns,18128800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,85903339.0,ns,18339600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,86959197.0,ns,18550400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,88008297.0,ns,18761200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,89387071.0,ns,18972000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,89922530.0,ns,19182800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,90990188.0,ns,19393600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,91996080.0,ns,19604400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,92898720.0,ns,19815200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,94757404.0,ns,20026000
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,95375757.0,ns,20236800
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,96206099.0,ns,20447600
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,96797449.0,ns,20658400
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,97748308.0,ns,20869200
decode_incomplete/ascii,yore 0.1.0,80,80,bytes,98912729.0,ns,21080000
