group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,1010544.0,ns,11061
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,1965016.0,ns,22122
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,2955308.0,ns,33183
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,3946742.0,ns,44244
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,4968074.0,ns,55305
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,5943044.0,ns,66366
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,7298512.0,ns,77427
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,7993591.0,ns,88488
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,9017948.0,ns,99549
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,9854640.0,ns,110610
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,10825367.0,ns,121671
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,11821543.0,ns,132732
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,12873952.0,ns,143793
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,13806112.0,ns,154854
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,14807473.0,ns,165915
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,15813655.0,ns,176976
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,16813374.0,ns,188037
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,17762662.0,ns,199098
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,18798572.0,ns,210159
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,19748431.0,ns,221220
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,20854961.0,ns,232281
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,21731171.0,ns,243342
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,22686793.0,ns,254403
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,23711464.0,ns,265464
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,24663468.0,ns,276525
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,25681150.0,ns,287586
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,26639494.0,ns,298647
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,27711158.0,ns,309708
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,28625697.0,ns,320769
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,30146047.0,ns,331830
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,30695566.0,ns,342891
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,31572549.0,ns,353952
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,32566140.0,ns,365013
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,33601315.0,ns,376074
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,34700523.0,ns,387135
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,35554443.0,ns,398196
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,36533382.0,ns,409257
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,37630865.0,ns,420318
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,38625787.0,ns,431379
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,39430407.0,ns,442440
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,40454843.0,ns,453501
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,41534419.0,ns,464562
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,42487794.0,ns,475623
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,43570769.0,ns,486684
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,44547785.0,ns,497745
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,46008541.0,ns,508806
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,46401071.0,ns,519867
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,47445481.0,ns,530928
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,48424850.0,ns,541989
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,49475961.0,ns,553050
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,50329876.0,ns,564111
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,51341040.0,ns,575172
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,52409505.0,ns,586233
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,53288811.0,ns,597294
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,54448697.0,ns,608355
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,55308349.0,ns,619416
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,56272769.0,ns,630477
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,57938483.0,ns,641538
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,58253120.0,ns,652599
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,59280848.0,ns,663660
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,60312694.0,ns,674721
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,61392492.0,ns,685782
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,62219305.0,ns,696843
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,63267178.0,ns,707904
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,64276174.0,ns,718965
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,65222624.0,ns,730026
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,66163174.0,ns,741087
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,67107911.0,ns,752148
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,68115832.0,ns,763209
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,69196294.0,ns,774270
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,70134289.0,ns,785331
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,71242502.0,ns,796392
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,72129657.0,ns,807453
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,73175547.0,ns,818514
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,74082229.0,ns,829575
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,75035840.0,ns,840636
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,76192326.0,ns,851697
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,77252444.0,ns,862758
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,78029506.0,ns,873819
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,79004663.0,ns,884880
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,80042227.0,ns,895941
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,80984131.0,ns,907002
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,82008221.0,ns,918063
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,83100618.0,ns,929124
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,84025312.0,ns,940185
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,84920655.0,ns,951246
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,86018097.0,ns,962307
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,86938019.0,ns,973368
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,88133469.0,ns,984429
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,89547857.0,ns,995490
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,89917007.0,ns,1006551
decode_incomplete/extended/checked,encoding_rs 0.8.28,16,16,bytes,90869337.0,ns,1017612
