group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,1121476.0,ns,2405
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,1976438.0,ns,4810
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,3099613.0,ns,7215
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,4144115.0,ns,9620
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,5059637.0,ns,12025
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,5978141.0,ns,14430
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,6916196.0,ns,16835
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,7905013.0,ns,19240
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,8906514.0,ns,21645
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,9892866.0,ns,24050
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,10913937.0,ns,26455
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,11861383.0,ns,28860
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,12892916.0,ns,31265
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,13852166.0,ns,33670
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,14822229.0,ns,36075
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,15798536.0,ns,38480
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,16806749.0,ns,40885
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,17886468.0,ns,43290
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,18795335.0,ns,45695
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,19765215.0,ns,48100
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,20739654.0,ns,50505
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,21732695.0,ns,52910
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,22797484.0,ns,55315
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,23730832.0,ns,57720
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,24708784.0,ns,60125
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,25715334.0,ns,62530
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,26719665.0,ns,64935
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,27714856.0,ns,67340
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,28768412.0,ns,69745
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,29822863.0,ns,72150
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,30711039.0,ns,74555
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,31835273.0,ns,76960
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,32697809.0,ns,79365
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,33686070.0,ns,81770
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,34632655.0,ns,84175
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,35739412.0,ns,86580
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,36623098.0,ns,88985
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,37622281.0,ns,91390
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,38571704.0,ns,93795
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,39580310.0,ns,96200
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,40610146.0,ns,98605
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,41622995.0,ns,101010
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,42569914.0,ns,103415
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,43593879.0,ns,105820
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,44537537.0,ns,108225
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,45497511.0,ns,110630
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,46530415.0,ns,113035
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,47578000.0,ns,115440
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,48514452.0,ns,117845
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,49432350.0,ns,120250
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,50432551.0,ns,122655
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,51446553.0,ns,125060
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,52403045.0,ns,127465
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,53424658.0,ns,129870
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,54503761.0,ns,132275
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,55394893.0,ns,134680
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,56367647.0,ns,137085
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,57581595.0,ns,139490
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,58327536.0,ns,141895
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,59496721.0,ns,144300
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,60439204.0,ns,146705
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,61354571.0,ns,149110
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,62353085.0,ns,151515
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,63486706.0,ns,153920
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,64326663.0,ns,156325
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,65336629.0,ns,158730
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,66302906.0,ns,161135
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,67263077.0,ns,163540
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,68226028.0,ns,165945
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,69378559.0,ns,168350
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,70335618.0,ns,170755
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,71258141.0,ns,173160
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,72353066.0,ns,175565
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,73174838.0,ns,177970
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,74319104.0,ns,180375
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,75164181.0,ns,182780
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,76426079.0,ns,185185
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,77087239.0,ns,187590
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,78255229.0,ns,189995
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,79785152.0,ns,192400
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,80256140.0,ns,194805
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,81062999.0,ns,197210
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,82324035.0,ns,199615
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,83107735.0,ns,202020
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,84119778.0,ns,204425
decode_incomplete/extended/checked,encoding_rs 0.8.28,64,64,bytes,85221933.0,ns,206830
