group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,1145493.0,ns,4541
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,1968849.0,ns,9082
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,3093800.0,ns,13623
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,3963426.0,ns,18164
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,5081328.0,ns,22705
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,5978182.0,ns,27246
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,6951128.0,ns,31787
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,7904150.0,ns,36328
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,8905704.0,ns,40869
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,9878037.0,ns,45410
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,10943842.0,ns,49951
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,11955597.0,ns,54492
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,12889606.0,ns,59033
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,13853863.0,ns,63574
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,14824125.0,ns,68115
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,15867784.0,ns,72656
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,16820828.0,ns,77197
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,17802570.0,ns,81738
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,18775906.0,ns,86279
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,19779846.0,ns,90820
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,20773546.0,ns,95361
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,21742762.0,ns,99902
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,22821985.0,ns,104443
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,23738110.0,ns,108984
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,24796478.0,ns,113525
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,25755061.0,ns,118066
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,26761988.0,ns,122607
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,27695179.0,ns,127148
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,28674542.0,ns,131689
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,31130547.0,ns,136230
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,33067413.0,ns,140771
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,32924919.0,ns,145312
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,34674706.0,ns,149853
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,33952807.0,ns,154394
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,34808839.0,ns,158935
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,35832603.0,ns,163476
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,36891803.0,ns,168017
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,37590483.0,ns,172558
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,38539928.0,ns,177099
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,39589153.0,ns,181640
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,40613786.0,ns,186181
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,41644867.0,ns,190722
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,42550385.0,ns,195263
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,43674049.0,ns,199804
decode_incomplete/extended/checked,rust-encoding 0.2.33,32,32,bytes,44625283.0,ns,204345
