group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,1147441.0,ns,2403
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,1978242.0,ns,4806
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,3122638.0,ns,7209
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,3977159.0,ns,9612
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,5246550.0,ns,12015
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,6006587.0,ns,14418
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,6935735.0,ns,16821
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,7937227.0,ns,19224
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,8935707.0,ns,21627
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,9879186.0,ns,24030
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,10865524.0,ns,26433
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,11860411.0,ns,28836
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,12820695.0,ns,31239
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,13838298.0,ns,33642
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,14919363.0,ns,36045
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,15846703.0,ns,38448
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,16801419.0,ns,40851
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,17856437.0,ns,43254
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,18841977.0,ns,45657
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,19710028.0,ns,48060
decode_incomplete/extended/checked,rust-encoding 0.2.33,64,64,bytes,20777368.0,ns,50463
