group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,1020637.0,ns,6902
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,1987159.0,ns,13804
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,2991759.0,ns,20706
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,3976350.0,ns,27608
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,5021626.0,ns,34510
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,6016016.0,ns,41412
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,7206076.0,ns,48314
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,8029064.0,ns,55216
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,9208310.0,ns,62118
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,9971201.0,ns,69020
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,11587581.0,ns,75922
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,11885252.0,ns,82824
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,12861605.0,ns,89726
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,13840509.0,ns,96628
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,14836509.0,ns,103530
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,15768353.0,ns,110432
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,16906212.0,ns,117334
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,17881994.0,ns,124236
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,18763463.0,ns,131138
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,19727339.0,ns,138040
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,20717890.0,ns,144942
decode_incomplete/extended/lossy,encoding_rs 0.8.28,32,32,bytes,21713705.0,ns,151844
