group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,1014971.0,ns,3882
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,2087504.0,ns,7764
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,2962369.0,ns,11646
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,3962986.0,ns,15528
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,4963442.0,ns,19410
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,5921089.0,ns,23292
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,7286438.0,ns,27174
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,8017587.0,ns,31056
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,8894281.0,ns,34938
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,9879209.0,ns,38820
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,10848656.0,ns,42702
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,11867363.0,ns,46584
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,12830946.0,ns,50466
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,13822015.0,ns,54348
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,14819538.0,ns,58230
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,15832747.0,ns,62112
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,16772121.0,ns,65994
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,17840203.0,ns,69876
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,18824026.0,ns,73758
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,19756695.0,ns,77640
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,20744426.0,ns,81522
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,21715810.0,ns,85404
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,22855224.0,ns,89286
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,23715083.0,ns,93168
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,24684727.0,ns,97050
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,25712477.0,ns,100932
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,26724892.0,ns,104814
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,27749807.0,ns,108696
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,28644294.0,ns,112578
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,29641258.0,ns,116460
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,30638710.0,ns,120342
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,31756999.0,ns,124224
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,32622972.0,ns,128106
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,33607195.0,ns,131988
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,35113832.0,ns,135870
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,35614022.0,ns,139752
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,36575330.0,ns,143634
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,37553574.0,ns,147516
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,38622594.0,ns,151398
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,39525346.0,ns,155280
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,40534431.0,ns,159162
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,41456515.0,ns,163044
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,42540560.0,ns,166926
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,43527680.0,ns,170808
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,44531727.0,ns,174690
decode_incomplete/extended/lossy,encoding_rs 0.8.28,64,64,bytes,45580761.0,ns,178572
