group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,1015125.0,ns,1316
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,1977361.0,ns,2632
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,2955851.0,ns,3948
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,3959460.0,ns,5264
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,4987410.0,ns,6580
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,5953681.0,ns,7896
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,7300860.0,ns,9212
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,7946588.0,ns,10528
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,8986480.0,ns,11844
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,9934214.0,ns,13160
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,10966475.0,ns,14476
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,11904798.0,ns,15792
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,12894335.0,ns,17108
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,13891664.0,ns,18424
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,14921625.0,ns,19740
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,15867985.0,ns,21056
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,16805435.0,ns,22372
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,17790584.0,ns,23688
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,18770687.0,ns,25004
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,19789349.0,ns,26320
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,20823143.0,ns,27636
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,21878625.0,ns,28952
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,22799566.0,ns,30268
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,23676164.0,ns,31584
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,24811125.0,ns,32900
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,25665322.0,ns,34216
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,26735597.0,ns,35532
decode_incomplete/extended/lossy,oem_cp 1.1.0,128,128,bytes,27679535.0,ns,36848
