group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,1017055.0,ns,2330
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,1970273.0,ns,4660
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,2963475.0,ns,6990
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,3966891.0,ns,9320
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,4965345.0,ns,11650
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,5930892.0,ns,13980
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,7278055.0,ns,16310
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,7941434.0,ns,18640
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,8961367.0,ns,20970
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,9873859.0,ns,23300
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,11278957.0,ns,25630
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,11853204.0,ns,27960
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,12831695.0,ns,30290
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,13823752.0,ns,32620
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,14847804.0,ns,34950
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,15818087.0,ns,37280
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,16806803.0,ns,39610
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,17798363.0,ns,41940
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,18799186.0,ns,44270
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,19859933.0,ns,46600
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,20769312.0,ns,48930
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,21700194.0,ns,51260
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,22701615.0,ns,53590
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,23711601.0,ns,55920
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,24763652.0,ns,58250
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,25661898.0,ns,60580
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,26649235.0,ns,62910
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,27671910.0,ns,65240
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,28636963.0,ns,67570
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,29678473.0,ns,69900
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,30636011.0,ns,72230
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,31570568.0,ns,74560
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,32587091.0,ns,76890
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,33561370.0,ns,79220
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,34566234.0,ns,81550
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,36042321.0,ns,83880
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,36630155.0,ns,86210
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,37603472.0,ns,88540
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,38515642.0,ns,90870
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,39505726.0,ns,93200
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,40590373.0,ns,95530
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,41450244.0,ns,97860
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,42546715.0,ns,100190
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,43569908.0,ns,102520
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,44478662.0,ns,104850
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,45415733.0,ns,107180
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,46428076.0,ns,109510
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,47396625.0,ns,111840
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,48513653.0,ns,114170
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,49919827.0,ns,116500
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,50465631.0,ns,118830
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,51380387.0,ns,121160
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,52484051.0,ns,123490
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,53509590.0,ns,125820
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,54301563.0,ns,128150
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,55364634.0,ns,130480
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,56285902.0,ns,132810
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,57606682.0,ns,135140
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,58394102.0,ns,137470
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,59336547.0,ns,139800
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,60758594.0,ns,142130
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,61256198.0,ns,144460
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,62336875.0,ns,146790
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,63220363.0,ns,149120
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,64191705.0,ns,151450
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,65236284.0,ns,153780
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,66439188.0,ns,156110
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,67571382.0,ns,158440
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,68311512.0,ns,160770
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,69938005.0,ns,163100
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,70065731.0,ns,165430
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,71125457.0,ns,167760
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,72342745.0,ns,170090
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,73169762.0,ns,172420
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,74080607.0,ns,174750
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,75044834.0,ns,177080
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,76490488.0,ns,179410
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,77017958.0,ns,181740
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,78562652.0,ns,184070
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,79229303.0,ns,186400
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,80178470.0,ns,188730
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,81068991.0,ns,191060
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,82058715.0,ns,193390
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,83010931.0,ns,195720
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,83889189.0,ns,198050
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,85643757.0,ns,200380
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,85926981.0,ns,202710
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,86982334.0,ns,205040
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,88079524.0,ns,207370
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,88888768.0,ns,209700
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,89885716.0,ns,212030
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,91198896.0,ns,214360
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,92341349.0,ns,216690
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,92837383.0,ns,219020
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,93877507.0,ns,221350
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,95039193.0,ns,223680
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,95791801.0,ns,226010
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,96856129.0,ns,228340
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,98345504.0,ns,230670
decode_incomplete/extended/lossy,oem_cp 1.1.0,64,64,bytes,98918475.0,ns,233000
