group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,1142191.0,ns,7796
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,1963805.0,ns,15592
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,3032388.0,ns,23388
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,4012716.0,ns,31184
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,5180448.0,ns,38980
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,5984147.0,ns,46776
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,6967122.0,ns,54572
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,7961233.0,ns,62368
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,8939091.0,ns,70164
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,9867026.0,ns,77960
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,10842780.0,ns,85756
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,11877458.0,ns,93552
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,12848004.0,ns,101348
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,13831497.0,ns,109144
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,14846662.0,ns,116940
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,15798038.0,ns,124736
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,16777914.0,ns,132532
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,17776796.0,ns,140328
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,18842585.0,ns,148124
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,19927150.0,ns,155920
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,20775947.0,ns,163716
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,21806079.0,ns,171512
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,22782443.0,ns,179308
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,23731034.0,ns,187104
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,24678929.0,ns,194900
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,25759740.0,ns,202696
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,26745857.0,ns,210492
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,27843574.0,ns,218288
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,28623745.0,ns,226084
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,30022907.0,ns,233880
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,31779048.0,ns,241676
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,31871556.0,ns,249472
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,32817809.0,ns,257268
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,33636522.0,ns,265064
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,34622644.0,ns,272860
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,35874704.0,ns,280656
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,36643586.0,ns,288452
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,37592863.0,ns,296248
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,38559042.0,ns,304044
decode_incomplete/extended/lossy,rust-encoding 0.2.33,16,16,bytes,39922191.0,ns,311840
