group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,1145848.0,ns,27762
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,1973767.0,ns,55524
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,3094253.0,ns,83286
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,3948592.0,ns,111048
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,5175816.0,ns,138810
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,6019753.0,ns,166572
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,6909590.0,ns,194334
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,7953662.0,ns,222096
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,8879365.0,ns,249858
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,9977385.0,ns,277620
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,10874075.0,ns,305382
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,11846966.0,ns,333144
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,12871521.0,ns,360906
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,16337749.0,ns,388668
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,14813123.0,ns,416430
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,15964183.0,ns,444192
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,16782414.0,ns,471954
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,17811107.0,ns,499716
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,18772849.0,ns,527478
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,19734277.0,ns,555240
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,20798729.0,ns,583002
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,21773247.0,ns,610764
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,22805073.0,ns,638526
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,23704983.0,ns,666288
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,24805202.0,ns,694050
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,25663391.0,ns,721812
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,26655713.0,ns,749574
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,27643612.0,ns,777336
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,28627817.0,ns,805098
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,29676549.0,ns,832860
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,30607475.0,ns,860622
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,31667400.0,ns,888384
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,32728130.0,ns,916146
decode_incomplete/extended/lossy,yore 0.1.0,32,32,bytes,33654211.0,ns,943908
