group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,986034.0,ns,17409
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,1972845.0,ns,34818
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,2962260.0,ns,52227
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,3947768.0,ns,69636
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,4947072.0,ns,87045
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,5972668.0,ns,104454
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,7965253.0,ns,121863
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,7924477.0,ns,139272
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,8935412.0,ns,156681
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,9860820.0,ns,174090
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,10862731.0,ns,191499
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,11837618.0,ns,208908
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,12809896.0,ns,226317
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,13802882.0,ns,243726
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,14835477.0,ns,261135
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,15820761.0,ns,278544
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,16790442.0,ns,295953
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,17841348.0,ns,313362
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,18738905.0,ns,330771
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,19771531.0,ns,348180
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,20706913.0,ns,365589
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,21701935.0,ns,382998
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,22706505.0,ns,400407
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,23709755.0,ns,417816
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,24661886.0,ns,435225
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,25691529.0,ns,452634
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,26676166.0,ns,470043
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,27658853.0,ns,487452
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,28821338.0,ns,504861
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,29616949.0,ns,522270
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,30592464.0,ns,539679
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,31546218.0,ns,557088
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,32631739.0,ns,574497
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,33547923.0,ns,591906
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,34506013.0,ns,609315
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,35562728.0,ns,626724
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,36538255.0,ns,644133
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,37582192.0,ns,661542
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,38494481.0,ns,678951
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,39502173.0,ns,696360
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,40482361.0,ns,713769
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,41524041.0,ns,731178
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,42541498.0,ns,748587
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,43466314.0,ns,765996
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,44617528.0,ns,783405
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,45555625.0,ns,800814
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,46473707.0,ns,818223
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,47385872.0,ns,835632
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,48397212.0,ns,853041
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,49329570.0,ns,870450
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,50391595.0,ns,887859
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,51335613.0,ns,905268
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,52404784.0,ns,922677
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,53517520.0,ns,940086
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,54307571.0,ns,957495
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,55262580.0,ns,974904
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,56561645.0,ns,992313
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,57300007.0,ns,1009722
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,58415572.0,ns,1027131
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,59293950.0,ns,1044540
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,60682631.0,ns,1061949
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,61503222.0,ns,1079358
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,62322600.0,ns,1096767
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,63219012.0,ns,1114176
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,64114965.0,ns,1131585
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,65243891.0,ns,1148994
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,66263842.0,ns,1166403
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,67074090.0,ns,1183812
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,68146875.0,ns,1201221
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,70503681.0,ns,1218630
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,70093670.0,ns,1236039
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,71117037.0,ns,1253448
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,72255806.0,ns,1270857
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,73129924.0,ns,1288266
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,74059152.0,ns,1305675
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,76144131.0,ns,1323084
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,76062911.0,ns,1340493
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,77012479.0,ns,1357902
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,78047198.0,ns,1375311
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,79004990.0,ns,1392720
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,79932352.0,ns,1410129
decode_incomplete/extended/lossy,yore 0.1.0,64,64,bytes,80885602.0,ns,1427538
