group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,1032285.0,ns,10485
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,1969848.0,ns,20970
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,3005932.0,ns,31455
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,3991078.0,ns,41940
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,5398695.0,ns,52425
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,6053857.0,ns,62910
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,6933851.0,ns,73395
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,7928920.0,ns,83880
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,8883287.0,ns,94365
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,9936549.0,ns,104850
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,10871776.0,ns,115335
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,11834688.0,ns,125820
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,12822334.0,ns,136305
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,13883437.0,ns,146790
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,14865659.0,ns,157275
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,15869191.0,ns,167760
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,17181724.0,ns,178245
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,17781549.0,ns,188730
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,18979514.0,ns,199215
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,19825309.0,ns,209700
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,20717623.0,ns,220185
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,21781261.0,ns,230670
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,22836197.0,ns,241155
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,23736035.0,ns,251640
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,24718111.0,ns,262125
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,25824268.0,ns,272610
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,26754288.0,ns,283095
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,27618957.0,ns,293580
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,28600959.0,ns,304065
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,29532803.0,ns,314550
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,30613928.0,ns,325035
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,31720264.0,ns,335520
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,32645887.0,ns,346005
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,33663832.0,ns,356490
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,34590271.0,ns,366975
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,35543154.0,ns,377460
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,36610795.0,ns,387945
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,37590958.0,ns,398430
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,38580407.0,ns,408915
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,39455193.0,ns,419400
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,40670950.0,ns,429885
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,41462773.0,ns,440370
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,42518429.0,ns,450855
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,43456366.0,ns,461340
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,44499002.0,ns,471825
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,45476737.0,ns,482310
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,46455873.0,ns,492795
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,47463793.0,ns,503280
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,48437542.0,ns,513765
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,49549173.0,ns,524250
