group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,1017400.0,ns,12949
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,1981838.0,ns,25898
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,2961832.0,ns,38847
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,3942489.0,ns,51796
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,5013745.0,ns,64745
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,5900095.0,ns,77694
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,7025849.0,ns,90643
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,7928571.0,ns,103592
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,9003118.0,ns,116541
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,9964318.0,ns,129490
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,10893485.0,ns,142439
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,11834588.0,ns,155388
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,12824307.0,ns,168337
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,13807326.0,ns,181286
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,14792446.0,ns,194235
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,15795042.0,ns,207184
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,16894817.0,ns,220133
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,17706469.0,ns,233082
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,18725624.0,ns,246031
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,19731458.0,ns,258980
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,20757834.0,ns,271929
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,21773490.0,ns,284878
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,22771824.0,ns,297827
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,23865735.0,ns,310776
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,24718702.0,ns,323725
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,25697880.0,ns,336674
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,26634038.0,ns,349623
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,27813589.0,ns,362572
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,28722718.0,ns,375521
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,29722745.0,ns,388470
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,30716466.0,ns,401419
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,31622578.0,ns,414368
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,32777483.0,ns,427317
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,33602368.0,ns,440266
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,34859672.0,ns,453215
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,35666574.0,ns,466164
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,36631310.0,ns,479113
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,37631254.0,ns,492062
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,38604139.0,ns,505011
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,39621559.0,ns,517960
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,40555648.0,ns,530909
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,41506754.0,ns,543858
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,42463020.0,ns,556807
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,43513142.0,ns,569756
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,44443106.0,ns,582705
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,45571009.0,ns,595654
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,46430262.0,ns,608603
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,47501974.0,ns,621552
decode_incomplete/middle_bad/checked,encoding_rs 0.8.28,10,10,bytes,48423081.0,ns,634501
