group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,1150108.0,ns,1016
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,1979824.0,ns,2032
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,3078420.0,ns,3048
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,4296965.0,ns,4064
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,5022988.0,ns,5080
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,5981822.0,ns,6096
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,6920426.0,ns,7112
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,7908386.0,ns,8128
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,8944380.0,ns,9144
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,9899384.0,ns,10160
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,10885526.0,ns,11176
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,11868875.0,ns,12192
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,12862737.0,ns,13208
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,13856787.0,ns,14224
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,14869081.0,ns,15240
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,15844738.0,ns,16256
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,16846475.0,ns,17272
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,17790861.0,ns,18288
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,18792887.0,ns,19304
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,19781458.0,ns,20320
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,20895439.0,ns,21336
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,21751468.0,ns,22352
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,22773870.0,ns,23368
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,23743121.0,ns,24384
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,24739112.0,ns,25400
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,160,160,bytes,25754664.0,ns,26416
