group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,1053726.0,ns,6431
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,1999077.0,ns,12862
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,2975509.0,ns,19293
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,3959332.0,ns,25724
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,5124360.0,ns,32155
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,6031294.0,ns,38586
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,6918610.0,ns,45017
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,7900106.0,ns,51448
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,8885642.0,ns,57879
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,9883988.0,ns,64310
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,10868216.0,ns,70741
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,11813190.0,ns,77172
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,12911201.0,ns,83603
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,13847858.0,ns,90034
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,14898018.0,ns,96465
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,15778735.0,ns,102896
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,16822563.0,ns,109327
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,17781963.0,ns,115758
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,18799703.0,ns,122189
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,19756011.0,ns,128620
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,20785830.0,ns,135051
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,21751505.0,ns,141482
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,22757505.0,ns,147913
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,23831911.0,ns,154344
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,24768495.0,ns,160775
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,25730759.0,ns,167206
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,26790500.0,ns,173637
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,27700979.0,ns,180068
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,28798233.0,ns,186499
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,29590585.0,ns,192930
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,30698610.0,ns,199361
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,31645024.0,ns,205792
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,32701118.0,ns,212223
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,33660741.0,ns,218654
decode_incomplete/middle_bad/checked,rust-encoding 0.2.33,20,20,bytes,34665607.0,ns,225085
