group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,1056413.0,ns,62777
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,2706805.0,ns,125554
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,2937335.0,ns,188331
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,3873100.0,ns,251108
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,4911538.0,ns,313885
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,5930662.0,ns,376662
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,7107192.0,ns,439439
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,7811976.0,ns,502216
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,8786176.0,ns,564993
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,9701131.0,ns,627770
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,10705130.0,ns,690547
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,11869047.0,ns,753324
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,12670358.0,ns,816101
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,13823009.0,ns,878878
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,14838400.0,ns,941655
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,15983228.0,ns,1004432
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,17064352.0,ns,1067209
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,18015212.0,ns,1129986
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,18554304.0,ns,1192763
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,19499674.0,ns,1255540
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,20662515.0,ns,1318317
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,21661744.0,ns,1381094
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,22660068.0,ns,1443871
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,23569380.0,ns,1506648
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,24619421.0,ns,1569425
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,26135169.0,ns,1632202
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,26687688.0,ns,1694979
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,27771878.0,ns,1757756
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,28661404.0,ns,1820533
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,29620643.0,ns,1883310
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,30493442.0,ns,1946087
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,32094216.0,ns,2008864
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,32573071.0,ns,2071641
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,33429735.0,ns,2134418
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,34711212.0,ns,2197195
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,35765534.0,ns,2259972
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,36033441.0,ns,2322749
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,37780424.0,ns,2385526
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,38663713.0,ns,2448303
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,40272659.0,ns,2511080
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,40348948.0,ns,2573857
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,41594550.0,ns,2636634
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,42623830.0,ns,2699411
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,43371143.0,ns,2762188
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,44269214.0,ns,2824965
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,45381458.0,ns,2887742
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,47017828.0,ns,2950519
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,47191552.0,ns,3013296
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,48439107.0,ns,3076073
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,49735181.0,ns,3138850
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,50942568.0,ns,3201627
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,51773694.0,ns,3264404
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,53026071.0,ns,3327181
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,53155595.0,ns,3389958
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,55228030.0,ns,3452735
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,55329682.0,ns,3515512
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,55465668.0,ns,3578289
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,57409333.0,ns,3641066
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,58482609.0,ns,3703843
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,58844076.0,ns,3766620
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,60269180.0,ns,3829397
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,61237780.0,ns,3892174
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,62130445.0,ns,3954951
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,63302073.0,ns,4017728
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,64350636.0,ns,4080505
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,65210049.0,ns,4143282
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,65804976.0,ns,4206059
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,67226401.0,ns,4268836
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,68084699.0,ns,4331613
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,68833748.0,ns,4394390
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,71738390.0,ns,4457167
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,71191220.0,ns,4519944
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,71916090.0,ns,4582721
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,73056367.0,ns,4645498
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,74019512.0,ns,4708275
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,74846602.0,ns,4771052
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,76087636.0,ns,4833829
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,78201668.0,ns,4896606
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,78276783.0,ns,4959383
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,79218369.0,ns,5022160
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,79870488.0,ns,5084937
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,81173163.0,ns,5147714
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,82497874.0,ns,5210491
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,83792430.0,ns,5273268
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,84987104.0,ns,5336045
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,85041352.0,ns,5398822
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,85772357.0,ns,5461599
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,86448310.0,ns,5524376
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,87983659.0,ns,5587153
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,89440144.0,ns,5649930
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,89989998.0,ns,5712707
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,91381016.0,ns,5775484
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,92409760.0,ns,5838261
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,93646684.0,ns,5901038
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,94183322.0,ns,5963815
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,95485477.0,ns,6026592
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,95452099.0,ns,6089369
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,96786210.0,ns,6152146
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,98149246.0,ns,6214923
decode_incomplete/middle_bad/checked,yore 0.1.0,10,10,bytes,99570778.0,ns,6277700
