group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,1034172.0,ns,4472
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,1970786.0,ns,8944
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,3140706.0,ns,13416
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,4173857.0,ns,17888
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,5015334.0,ns,22360
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,5941745.0,ns,26832
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,6907818.0,ns,31304
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,7891883.0,ns,35776
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,8909482.0,ns,40248
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,9883693.0,ns,44720
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,10891435.0,ns,49192
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,11834183.0,ns,53664
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,12893032.0,ns,58136
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,13886434.0,ns,62608
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,14809244.0,ns,67080
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,15839358.0,ns,71552
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,16867731.0,ns,76024
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,17804535.0,ns,80496
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,20,20,bytes,18830686.0,ns,84968
