group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,997181.0,ns,5327
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,1974649.0,ns,10654
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,2962970.0,ns,15981
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,3954387.0,ns,21308
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,5279658.0,ns,26635
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,5951450.0,ns,31962
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,7063081.0,ns,37289
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,7979908.0,ns,42616
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,8885424.0,ns,47943
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,9916390.0,ns,53270
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,10866498.0,ns,58597
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,11856859.0,ns,63924
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,12868553.0,ns,69251
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,13817841.0,ns,74578
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,14828271.0,ns,79905
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,15789465.0,ns,85232
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,16848101.0,ns,90559
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,17838877.0,ns,95886
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,18776723.0,ns,101213
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,19794088.0,ns,106540
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,20759863.0,ns,111867
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,21708740.0,ns,117194
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,22743557.0,ns,122521
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,23810520.0,ns,127848
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,24713456.0,ns,133175
decode_incomplete/middle_bad/lossy,encoding_rs 0.8.28,40,40,bytes,25674845.0,ns,138502
