group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,1016496.0,ns,5107
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,1976129.0,ns,10214
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,2959725.0,ns,15321
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,3982377.0,ns,20428
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,4968345.0,ns,25535
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,5928753.0,ns,30642
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,7223552.0,ns,35749
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,8018526.0,ns,40856
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,8914851.0,ns,45963
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,9887619.0,ns,51070
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,10860440.0,ns,56177
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,11860779.0,ns,61284
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,12859520.0,ns,66391
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,13853392.0,ns,71498
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,14867974.0,ns,76605
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,15805344.0,ns,81712
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,16794678.0,ns,86819
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,17779742.0,ns,91926
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,18895798.0,ns,97033
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,19787254.0,ns,102140
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,20836064.0,ns,107247
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,21742706.0,ns,112354
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,22724182.0,ns,117461
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,23728235.0,ns,122568
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,24801753.0,ns,127675
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,25749281.0,ns,132782
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,26719997.0,ns,137889
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,27709825.0,ns,142996
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,28728648.0,ns,148103
decode_incomplete/middle_bad/lossy,oem_cp 1.1.0,20,20,bytes,29632744.0,ns,153210
