group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,1149505.0,ns,1016
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,1981217.0,ns,2032
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,3050258.0,ns,3048
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,3957289.0,ns,4064
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,5179981.0,ns,5080
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,6063346.0,ns,6096
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,6945770.0,ns,7112
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,7909222.0,ns,8128
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,8888093.0,ns,9144
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,9873325.0,ns,10160
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,10902625.0,ns,11176
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,12036610.0,ns,12192
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,12846808.0,ns,13208
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,13866499.0,ns,14224
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,14847445.0,ns,15240
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,15920998.0,ns,16256
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,16823459.0,ns,17272
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,17802483.0,ns,18288
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,18783116.0,ns,19304
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,19780582.0,ns,20320
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,20780639.0,ns,21336
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,21764489.0,ns,22352
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,23088885.0,ns,23368
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,23741762.0,ns,24384
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,24713539.0,ns,25400
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,25710865.0,ns,26416
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,26690368.0,ns,27432
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,27798367.0,ns,28448
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,28673771.0,ns,29464
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,29658633.0,ns,30480
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,30611886.0,ns,31496
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,160,160,bytes,31653999.0,ns,32512
