group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,1146388.0,ns,3687
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,2009193.0,ns,7374
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,3095195.0,ns,11061
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,4118239.0,ns,14748
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,5028029.0,ns,18435
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,5909178.0,ns,22122
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,6935579.0,ns,25809
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,7923676.0,ns,29496
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,8889249.0,ns,33183
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,9889314.0,ns,36870
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,10853997.0,ns,40557
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,11864118.0,ns,44244
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,12826285.0,ns,47931
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,13846503.0,ns,51618
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,14938023.0,ns,55305
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,15862142.0,ns,58992
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,16798786.0,ns,62679
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,17893161.0,ns,66366
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,18969337.0,ns,70053
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,19729148.0,ns,73740
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,20706925.0,ns,77427
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,21703927.0,ns,81114
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,22735789.0,ns,84801
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,23836727.0,ns,88488
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,24703487.0,ns,92175
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,25659452.0,ns,95862
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,26768677.0,ns,99549
decode_incomplete/middle_bad/lossy,rust-encoding 0.2.33,40,40,bytes,27630426.0,ns,103236
