group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,1014309.0,ns,24058
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,1980063.0,ns,48116
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,2963080.0,ns,72174
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,3950982.0,ns,96232
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,4941929.0,ns,120290
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,5923975.0,ns,144348
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,7281901.0,ns,168406
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,8058479.0,ns,192464
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,8917862.0,ns,216522
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,9883332.0,ns,240580
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,10895622.0,ns,264638
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,11900506.0,ns,288696
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,12849690.0,ns,312754
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,13831328.0,ns,336812
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,14848349.0,ns,360870
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,15810901.0,ns,384928
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,16796841.0,ns,408986
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,17805833.0,ns,433044
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,18769532.0,ns,457102
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,19756261.0,ns,481160
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,20749903.0,ns,505218
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,21823327.0,ns,529276
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,22846080.0,ns,553334
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,23709700.0,ns,577392
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,24700717.0,ns,601450
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,25725649.0,ns,625508
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,26675112.0,ns,649566
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,27660482.0,ns,673624
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,28674913.0,ns,697682
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,29679948.0,ns,721740
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,30635599.0,ns,745798
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,32061002.0,ns,769856
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,32632906.0,ns,793914
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,33577629.0,ns,817972
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,34604258.0,ns,842030
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,35623315.0,ns,866088
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,36599223.0,ns,890146
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,37561117.0,ns,914204
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,38527318.0,ns,938262
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,39594059.0,ns,962320
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,40567145.0,ns,986378
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,41491866.0,ns,1010436
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,42648178.0,ns,1034494
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,43639756.0,ns,1058552
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,44469805.0,ns,1082610
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,45498263.0,ns,1106668
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,46874544.0,ns,1130726
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,47662283.0,ns,1154784
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,48533113.0,ns,1178842
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,49482060.0,ns,1202900
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,50405277.0,ns,1226958
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,51529761.0,ns,1251016
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,52441015.0,ns,1275074
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,53358266.0,ns,1299132
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,54429775.0,ns,1323190
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,55399026.0,ns,1347248
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,56317187.0,ns,1371306
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,57347455.0,ns,1395364
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,58786300.0,ns,1419422
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,59288433.0,ns,1443480
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,60366369.0,ns,1467538
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,61282168.0,ns,1491596
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,62266268.0,ns,1515654
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,63267139.0,ns,1539712
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,64253339.0,ns,1563770
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,65225509.0,ns,1587828
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,66237088.0,ns,1611886
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,67710339.0,ns,1635944
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,68220083.0,ns,1660002
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,69238839.0,ns,1684060
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,70175135.0,ns,1708118
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,71206888.0,ns,1732176
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,72148246.0,ns,1756234
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,73110212.0,ns,1780292
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,74132434.0,ns,1804350
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,75240994.0,ns,1828408
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,76721616.0,ns,1852466
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,77187255.0,ns,1876524
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,78103154.0,ns,1900582
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,79105719.0,ns,1924640
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,80086734.0,ns,1948698
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,81180064.0,ns,1972756
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,82076339.0,ns,1996814
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,83641280.0,ns,2020872
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,84031000.0,ns,2044930
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,85055153.0,ns,2068988
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,86018851.0,ns,2093046
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,87010498.0,ns,2117104
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,88026592.0,ns,2141162
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,88961526.0,ns,2165220
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,90546021.0,ns,2189278
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,90973061.0,ns,2213336
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,91920794.0,ns,2237394
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,92935302.0,ns,2261452
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,100661972.0,ns,2285510
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,97783152.0,ns,2309568
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,96040075.0,ns,2333626
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,96907093.0,ns,2357684
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,97964572.0,ns,2381742
decode_incomplete/middle_bad/lossy,yore 0.1.0,40,40,bytes,98901903.0,ns,2405800
