group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,1017397.0,ns,13915
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,1978055.0,ns,27830
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,2974234.0,ns,41745
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,3960061.0,ns,55660
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,4972606.0,ns,69575
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,5934481.0,ns,83490
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,7366208.0,ns,97405
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,8052335.0,ns,111320
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,8928357.0,ns,125235
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,9885539.0,ns,139150
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,10877494.0,ns,153065
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,11863312.0,ns,166980
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,12899592.0,ns,180895
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,13874715.0,ns,194810
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,14833030.0,ns,208725
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,15832027.0,ns,222640
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,16815371.0,ns,236555
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,17820032.0,ns,250470
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,18799667.0,ns,264385
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,19794919.0,ns,278300
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,20730271.0,ns,292215
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,21735601.0,ns,306130
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,22760739.0,ns,320045
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,23735318.0,ns,333960
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,24702071.0,ns,347875
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,25780056.0,ns,361790
decode_incomplete/middle_bad/lossy,yore 0.1.0,80,80,bytes,26703726.0,ns,375705
