group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,1139563.0,ns,154583
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,1954033.0,ns,309166
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,3195618.0,ns,463749
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,4336800.0,ns,618332
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,5022186.0,ns,772915
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,5919207.0,ns,927498
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,6859581.0,ns,1082081
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,7812620.0,ns,1236664
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,8814716.0,ns,1391247
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,10068837.0,ns,1545830
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,11322017.0,ns,1700413
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,11743895.0,ns,1854996
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,12689054.0,ns,2009579
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,13811056.0,ns,2164162
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,14644897.0,ns,2318745
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,16074294.0,ns,2473328
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,16908517.0,ns,2627911
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,17661250.0,ns,2782494
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,18978927.0,ns,2937077
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,19734549.0,ns,3091660
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,20878385.0,ns,3246243
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,21476744.0,ns,3400826
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,22639070.0,ns,3555409
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,23643993.0,ns,3709992
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,24410741.0,ns,3864575
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,25701137.0,ns,4019158
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,26535057.0,ns,4173741
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,27501259.0,ns,4328324
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,28717127.0,ns,4482907
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,29593878.0,ns,4637490
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,30541330.0,ns,4792073
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,31637192.0,ns,4946656
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,32757047.0,ns,5101239
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,33565906.0,ns,5255822
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,34871842.0,ns,5410405
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,36094784.0,ns,5564988
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,37292553.0,ns,5719571
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,37564523.0,ns,5874154
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,38584948.0,ns,6028737
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,39838481.0,ns,6183320
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,40211805.0,ns,6337903
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,41080159.0,ns,6492486
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,42446651.0,ns,6647069
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,43200474.0,ns,6801652
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,44444763.0,ns,6956235
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,45573187.0,ns,7110818
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,46380675.0,ns,7265401
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,47480595.0,ns,7419984
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,48537121.0,ns,7574567
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,49655347.0,ns,7729150
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,50191043.0,ns,7883733
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,51484833.0,ns,8038316
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,52183303.0,ns,8192899
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,53176160.0,ns,8347482
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,54251294.0,ns,8502065
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,55038025.0,ns,8656648
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,56260832.0,ns,8811231
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,57699974.0,ns,8965814
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,58283085.0,ns,9120397
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,58776827.0,ns,9274980
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,60576483.0,ns,9429563
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,61089906.0,ns,9584146
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,62053431.0,ns,9738729
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,63816684.0,ns,9893312
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,64775086.0,ns,10047895
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,65563524.0,ns,10202478
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,65850250.0,ns,10357061
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,67141688.0,ns,10511644
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,68508957.0,ns,10666227
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,68830571.0,ns,10820810
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,70427018.0,ns,10975393
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,71369701.0,ns,11129976
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,72185759.0,ns,11284559
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,72876172.0,ns,11439142
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,73513336.0,ns,11593725
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,75167786.0,ns,11748308
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,75763027.0,ns,11902891
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,77308678.0,ns,12057474
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,77577781.0,ns,12212057
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,78663135.0,ns,12366640
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,79863283.0,ns,12521223
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,80657015.0,ns,12675806
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,81553830.0,ns,12830389
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,82774200.0,ns,12984972
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,84282233.0,ns,13139555
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,84546006.0,ns,13294138
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,85429845.0,ns,13448721
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,86742566.0,ns,13603304
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,88978025.0,ns,13757887
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,88872699.0,ns,13912470
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,90677417.0,ns,14067053
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,90712243.0,ns,14221636
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,92061011.0,ns,14376219
encode/all_bad/checked,oem_cp 1.1.0,60,60,bytes,92668093.0,ns,14530802
