group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,1013026.0,ns,152160
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,2010091.0,ns,304320
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,3014088.0,ns,456480
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,3944589.0,ns,608640
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,4965420.0,ns,760800
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,5923158.0,ns,912960
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,7193285.0,ns,1065120
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,8012815.0,ns,1217280
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,8913904.0,ns,1369440
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,9868850.0,ns,1521600
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,10848819.0,ns,1673760
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,11844248.0,ns,1825920
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,12828621.0,ns,1978080
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,13848009.0,ns,2130240
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,14815619.0,ns,2282400
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,16690938.0,ns,2434560
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,18346938.0,ns,2586720
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,17792519.0,ns,2738880
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,18801770.0,ns,2891040
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,19796946.0,ns,3043200
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,20702735.0,ns,3195360
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,21667551.0,ns,3347520
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,22633237.0,ns,3499680
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,24153610.0,ns,3651840
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,24802322.0,ns,3804000
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,25714966.0,ns,3956160
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,26675141.0,ns,4108320
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,27792296.0,ns,4260480
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,28650242.0,ns,4412640
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,30612769.0,ns,4564800
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,30666461.0,ns,4716960
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,31638813.0,ns,4869120
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,32620078.0,ns,5021280
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,34066217.0,ns,5173440
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,34603690.0,ns,5325600
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,35564949.0,ns,5477760
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,36554835.0,ns,5629920
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,38318935.0,ns,5782080
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,38629703.0,ns,5934240
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,39547592.0,ns,6086400
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,40432804.0,ns,6238560
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,41529665.0,ns,6390720
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,42504379.0,ns,6542880
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,43564382.0,ns,6695040
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,44440185.0,ns,6847200
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,45425870.0,ns,6999360
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,46475984.0,ns,7151520
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,47484275.0,ns,7303680
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,48333650.0,ns,7455840
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,49706557.0,ns,7608000
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,50472612.0,ns,7760160
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,51966947.0,ns,7912320
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,52326827.0,ns,8064480
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,53394353.0,ns,8216640
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,54400950.0,ns,8368800
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,55372986.0,ns,8520960
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,56352792.0,ns,8673120
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,57296593.0,ns,8825280
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,58346082.0,ns,8977440
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,59303301.0,ns,9129600
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,60192331.0,ns,9281760
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,61761929.0,ns,9433920
encode/all_bad/checked,oem_cp 1.1.0,960,960,bytes,62234487.0,ns,9586080
