group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,983273.0,ns,27505
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,1981573.0,ns,55010
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,2972339.0,ns,82515
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,3934218.0,ns,110020
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,4948228.0,ns,137525
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,5916814.0,ns,165030
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,6964709.0,ns,192535
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,7923394.0,ns,220040
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,8865907.0,ns,247545
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,9844534.0,ns,275050
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,10865328.0,ns,302555
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,11856108.0,ns,330060
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,12836682.0,ns,357565
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,13805354.0,ns,385070
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,14783773.0,ns,412575
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,15923513.0,ns,440080
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,16819633.0,ns,467585
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,17799490.0,ns,495090
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,18826069.0,ns,522595
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,19853563.0,ns,550100
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,20659807.0,ns,577605
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,21728671.0,ns,605110
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,22727134.0,ns,632615
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,23750793.0,ns,660120
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,24749677.0,ns,687625
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,25746224.0,ns,715130
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,26601888.0,ns,742635
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,27787948.0,ns,770140
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,28692415.0,ns,797645
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,29663591.0,ns,825150
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,30745770.0,ns,852655
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,31597301.0,ns,880160
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,32638899.0,ns,907665
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,33594928.0,ns,935170
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,34577666.0,ns,962675
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,35655186.0,ns,990180
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,36861991.0,ns,1017685
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,37623519.0,ns,1045190
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,38597496.0,ns,1072695
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,40045942.0,ns,1100200
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,40748877.0,ns,1127705
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,41625978.0,ns,1155210
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,42797411.0,ns,1182715
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,44127626.0,ns,1210220
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,44457840.0,ns,1237725
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,45484824.0,ns,1265230
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,46434547.0,ns,1292735
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,47574966.0,ns,1320240
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,48324892.0,ns,1347745
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,49550134.0,ns,1375250
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,50389495.0,ns,1402755
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,51575394.0,ns,1430260
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,52608999.0,ns,1457765
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,53420826.0,ns,1485270
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,54324147.0,ns,1512775
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,55383227.0,ns,1540280
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,56625230.0,ns,1567785
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,57357461.0,ns,1595290
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,58386226.0,ns,1622795
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,59361868.0,ns,1650300
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,60515052.0,ns,1677805
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,61423022.0,ns,1705310
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,62396884.0,ns,1732815
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,63257047.0,ns,1760320
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,64337089.0,ns,1787825
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,65281793.0,ns,1815330
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,66313937.0,ns,1842835
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,67212580.0,ns,1870340
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,68562693.0,ns,1897845
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,69378793.0,ns,1925350
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,70097899.0,ns,1952855
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,71884196.0,ns,1980360
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,73517658.0,ns,2007865
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,73106778.0,ns,2035370
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,74215926.0,ns,2062875
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,75304664.0,ns,2090380
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,76043334.0,ns,2117885
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,76952752.0,ns,2145390
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,78134905.0,ns,2172895
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,79423900.0,ns,2200400
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,80172807.0,ns,2227905
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,81115658.0,ns,2255410
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,82073604.0,ns,2282915
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,83095343.0,ns,2310420
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,83944006.0,ns,2337925
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,85640375.0,ns,2365430
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,86066298.0,ns,2392935
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,87105464.0,ns,2420440
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,88139059.0,ns,2447945
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,89041951.0,ns,2475450
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,90210596.0,ns,2502955
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,90981114.0,ns,2530460
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,91869501.0,ns,2557965
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,92826829.0,ns,2585470
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,94009510.0,ns,2612975
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,94730744.0,ns,2640480
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,96336351.0,ns,2667985
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,98343758.0,ns,2695490
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,99194729.0,ns,2722995
encode/all_bad/checked,rust-encoding 0.2.33,480,480,bytes,98721682.0,ns,2750500
