group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,1017744.0,ns,25568
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,1969538.0,ns,51136
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,2973541.0,ns,76704
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,3972636.0,ns,102272
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,4945970.0,ns,127840
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,5915103.0,ns,153408
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,7271541.0,ns,178976
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,8008674.0,ns,204544
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,8950601.0,ns,230112
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,9912841.0,ns,255680
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,10911702.0,ns,281248
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,11881705.0,ns,306816
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,12803832.0,ns,332384
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,13824486.0,ns,357952
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,14859219.0,ns,383520
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,15789015.0,ns,409088
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,16860064.0,ns,434656
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,17765244.0,ns,460224
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,18856851.0,ns,485792
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,19765077.0,ns,511360
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,21323979.0,ns,536928
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,21796377.0,ns,562496
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,22709591.0,ns,588064
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,23638281.0,ns,613632
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,24648603.0,ns,639200
encode/all_bad/checked,rust-encoding 0.2.33,60,60,bytes,25742873.0,ns,664768
