group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,yore 0.1.0,480,480,bytes,1004295.0,ns,4441
encode/all_bad/checked,yore 0.1.0,480,480,bytes,1969546.0,ns,8882
encode/all_bad/checked,yore 0.1.0,480,480,bytes,2973135.0,ns,13323
encode/all_bad/checked,yore 0.1.0,480,480,bytes,3950663.0,ns,17764
encode/all_bad/checked,yore 0.1.0,480,480,bytes,4889141.0,ns,22205
encode/all_bad/checked,yore 0.1.0,480,480,bytes,5923607.0,ns,26646
encode/all_bad/checked,yore 0.1.0,480,480,bytes,6869206.0,ns,31087
encode/all_bad/checked,yore 0.1.0,480,480,bytes,7856733.0,ns,35528
encode/all_bad/checked,yore 0.1.0,480,480,bytes,8869340.0,ns,39969
encode/all_bad/checked,yore 0.1.0,480,480,bytes,9931823.0,ns,44410
encode/all_bad/checked,yore 0.1.0,480,480,bytes,10941730.0,ns,48851
encode/all_bad/checked,yore 0.1.0,480,480,bytes,11759056.0,ns,53292
encode/all_bad/checked,yore 0.1.0,480,480,bytes,12775007.0,ns,57733
encode/all_bad/checked,yore 0.1.0,480,480,bytes,13855972.0,ns,62174
encode/all_bad/checked,yore 0.1.0,480,480,bytes,14664296.0,ns,66615
encode/all_bad/checked,yore 0.1.0,480,480,bytes,15850045.0,ns,71056
encode/all_bad/checked,yore 0.1.0,480,480,bytes,16724823.0,ns,75497
encode/all_bad/checked,yore 0.1.0,480,480,bytes,17721916.0,ns,79938
encode/all_bad/checked,yore 0.1.0,480,480,bytes,18659814.0,ns,84379
encode/all_bad/checked,yore 0.1.0,480,480,bytes,19830264.0,ns,88820
encode/all_bad/checked,yore 0.1.0,480,480,bytes,20734998.0,ns,93261
encode/all_bad/checked,yore 0.1.0,480,480,bytes,21768156.0,ns,97702
encode/all_bad/checked,yore 0.1.0,480,480,bytes,22723153.0,ns,102143
encode/all_bad/checked,yore 0.1.0,480,480,bytes,23795138.0,ns,106584
encode/all_bad/checked,yore 0.1.0,480,480,bytes,24733297.0,ns,111025
encode/all_bad/checked,yore 0.1.0,480,480,bytes,25635667.0,ns,115466
encode/all_bad/checked,yore 0.1.0,480,480,bytes,26830783.0,ns,119907
encode/all_bad/checked,yore 0.1.0,480,480,bytes,27704458.0,ns,124348
encode/all_bad/checked,yore 0.1.0,480,480,bytes,28769961.0,ns,128789
encode/all_bad/checked,yore 0.1.0,480,480,bytes,29644061.0,ns,133230
encode/all_bad/checked,yore 0.1.0,480,480,bytes,30687669.0,ns,137671
encode/all_bad/checked,yore 0.1.0,480,480,bytes,31507187.0,ns,142112
encode/all_bad/checked,yore 0.1.0,480,480,bytes,32705790.0,ns,146553
encode/all_bad/checked,yore 0.1.0,480,480,bytes,33618619.0,ns,150994
encode/all_bad/checked,yore 0.1.0,480,480,bytes,34684012.0,ns,155435
encode/all_bad/checked,yore 0.1.0,480,480,bytes,35451945.0,ns,159876
encode/all_bad/checked,yore 0.1.0,480,480,bytes,37144461.0,ns,164317
encode/all_bad/checked,yore 0.1.0,480,480,bytes,37787862.0,ns,168758
encode/all_bad/checked,yore 0.1.0,480,480,bytes,38273307.0,ns,173199
encode/all_bad/checked,yore 0.1.0,480,480,bytes,39496244.0,ns,177640
encode/all_bad/checked,yore 0.1.0,480,480,bytes,40573245.0,ns,182081
encode/all_bad/checked,yore 0.1.0,480,480,bytes,41360586.0,ns,186522
encode/all_bad/checked,yore 0.1.0,480,480,bytes,42217321.0,ns,190963
encode/all_bad/checked,yore 0.1.0,480,480,bytes,43374650.0,ns,195404
encode/all_bad/checked,yore 0.1.0,480,480,bytes,44572352.0,ns,199845
encode/all_bad/checked,yore 0.1.0,480,480,bytes,45564649.0,ns,204286
encode/all_bad/checked,yore 0.1.0,480,480,bytes,46535520.0,ns,208727
encode/all_bad/checked,yore 0.1.0,480,480,bytes,47410439.0,ns,213168
encode/all_bad/checked,yore 0.1.0,480,480,bytes,48310759.0,ns,217609
encode/all_bad/checked,yore 0.1.0,480,480,bytes,49522293.0,ns,222050
encode/all_bad/checked,yore 0.1.0,480,480,bytes,50436521.0,ns,226491
encode/all_bad/checked,yore 0.1.0,480,480,bytes,51672862.0,ns,230932
encode/all_bad/checked,yore 0.1.0,480,480,bytes,52306601.0,ns,235373
encode/all_bad/checked,yore 0.1.0,480,480,bytes,53396003.0,ns,239814
encode/all_bad/checked,yore 0.1.0,480,480,bytes,54217122.0,ns,244255
encode/all_bad/checked,yore 0.1.0,480,480,bytes,55518053.0,ns,248696
encode/all_bad/checked,yore 0.1.0,480,480,bytes,56303244.0,ns,253137
encode/all_bad/checked,yore 0.1.0,480,480,bytes,58047164.0,ns,257578
encode/all_bad/checked,yore 0.1.0,480,480,bytes,58376744.0,ns,262019
encode/all_bad/checked,yore 0.1.0,480,480,bytes,59149878.0,ns,266460
encode/all_bad/checked,yore 0.1.0,480,480,bytes,60318325.0,ns,270901
encode/all_bad/checked,yore 0.1.0,480,480,bytes,61025175.0,ns,275342
