group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/checked,yore 0.1.0,60,60,bytes,1009753.0,ns,29884
encode/all_bad/checked,yore 0.1.0,60,60,bytes,1978799.0,ns,59768
encode/all_bad/checked,yore 0.1.0,60,60,bytes,3003801.0,ns,89652
encode/all_bad/checked,yore 0.1.0,60,60,bytes,3945679.0,ns,119536
encode/all_bad/checked,yore 0.1.0,60,60,bytes,4938500.0,ns,149420
encode/all_bad/checked,yore 0.1.0,60,60,bytes,5929490.0,ns,179304
encode/all_bad/checked,yore 0.1.0,60,60,bytes,7011750.0,ns,209188
encode/all_bad/checked,yore 0.1.0,60,60,bytes,7941558.0,ns,239072
encode/all_bad/checked,yore 0.1.0,60,60,bytes,8980424.0,ns,268956
encode/all_bad/checked,yore 0.1.0,60,60,bytes,9742422.0,ns,298840
encode/all_bad/checked,yore 0.1.0,60,60,bytes,10859861.0,ns,328724
encode/all_bad/checked,yore 0.1.0,60,60,bytes,11864903.0,ns,358608
encode/all_bad/checked,yore 0.1.0,60,60,bytes,12868509.0,ns,388492
encode/all_bad/checked,yore 0.1.0,60,60,bytes,13831587.0,ns,418376
encode/all_bad/checked,yore 0.1.0,60,60,bytes,14846604.0,ns,448260
encode/all_bad/checked,yore 0.1.0,60,60,bytes,15962890.0,ns,478144
encode/all_bad/checked,yore 0.1.0,60,60,bytes,16859920.0,ns,508028
encode/all_bad/checked,yore 0.1.0,60,60,bytes,17866082.0,ns,537912
encode/all_bad/checked,yore 0.1.0,60,60,bytes,18775625.0,ns,567796
encode/all_bad/checked,yore 0.1.0,60,60,bytes,19910944.0,ns,597680
encode/all_bad/checked,yore 0.1.0,60,60,bytes,20496956.0,ns,627564
encode/all_bad/checked,yore 0.1.0,60,60,bytes,21537753.0,ns,657448
encode/all_bad/checked,yore 0.1.0,60,60,bytes,22886644.0,ns,687332
encode/all_bad/checked,yore 0.1.0,60,60,bytes,23805047.0,ns,717216
encode/all_bad/checked,yore 0.1.0,60,60,bytes,24614563.0,ns,747100
encode/all_bad/checked,yore 0.1.0,60,60,bytes,25603840.0,ns,776984
encode/all_bad/checked,yore 0.1.0,60,60,bytes,26640732.0,ns,806868
encode/all_bad/checked,yore 0.1.0,60,60,bytes,27654397.0,ns,836752
encode/all_bad/checked,yore 0.1.0,60,60,bytes,28706709.0,ns,866636
encode/all_bad/checked,yore 0.1.0,60,60,bytes,29823979.0,ns,896520
encode/all_bad/checked,yore 0.1.0,60,60,bytes,30719116.0,ns,926404
encode/all_bad/checked,yore 0.1.0,60,60,bytes,31755863.0,ns,956288
encode/all_bad/checked,yore 0.1.0,60,60,bytes,32726057.0,ns,986172
encode/all_bad/checked,yore 0.1.0,60,60,bytes,33728556.0,ns,1016056
encode/all_bad/checked,yore 0.1.0,60,60,bytes,34578379.0,ns,1045940
encode/all_bad/checked,yore 0.1.0,60,60,bytes,35685388.0,ns,1075824
encode/all_bad/checked,yore 0.1.0,60,60,bytes,36630265.0,ns,1105708
encode/all_bad/checked,yore 0.1.0,60,60,bytes,37729222.0,ns,1135592
encode/all_bad/checked,yore 0.1.0,60,60,bytes,38646009.0,ns,1165476
encode/all_bad/checked,yore 0.1.0,60,60,bytes,39568676.0,ns,1195360
encode/all_bad/checked,yore 0.1.0,60,60,bytes,40705545.0,ns,1225244
encode/all_bad/checked,yore 0.1.0,60,60,bytes,41705902.0,ns,1255128
encode/all_bad/checked,yore 0.1.0,60,60,bytes,42576735.0,ns,1285012
encode/all_bad/checked,yore 0.1.0,60,60,bytes,43813257.0,ns,1314896
encode/all_bad/checked,yore 0.1.0,60,60,bytes,44409858.0,ns,1344780
encode/all_bad/checked,yore 0.1.0,60,60,bytes,45648291.0,ns,1374664
encode/all_bad/checked,yore 0.1.0,60,60,bytes,46413874.0,ns,1404548
encode/all_bad/checked,yore 0.1.0,60,60,bytes,47751519.0,ns,1434432
encode/all_bad/checked,yore 0.1.0,60,60,bytes,48686344.0,ns,1464316
encode/all_bad/checked,yore 0.1.0,60,60,bytes,49594955.0,ns,1494200
encode/all_bad/checked,yore 0.1.0,60,60,bytes,50461942.0,ns,1524084
encode/all_bad/checked,yore 0.1.0,60,60,bytes,51235921.0,ns,1553968
encode/all_bad/checked,yore 0.1.0,60,60,bytes,52176645.0,ns,1583852
encode/all_bad/checked,yore 0.1.0,60,60,bytes,53556721.0,ns,1613736
encode/all_bad/checked,yore 0.1.0,60,60,bytes,54303458.0,ns,1643620
encode/all_bad/checked,yore 0.1.0,60,60,bytes,55368072.0,ns,1673504
encode/all_bad/checked,yore 0.1.0,60,60,bytes,56349502.0,ns,1703388
encode/all_bad/checked,yore 0.1.0,60,60,bytes,57378061.0,ns,1733272
encode/all_bad/checked,yore 0.1.0,60,60,bytes,58420281.0,ns,1763156
encode/all_bad/checked,yore 0.1.0,60,60,bytes,59208868.0,ns,1793040
encode/all_bad/checked,yore 0.1.0,60,60,bytes,60394046.0,ns,1822924
encode/all_bad/checked,yore 0.1.0,60,60,bytes,61450536.0,ns,1852808
encode/all_bad/checked,yore 0.1.0,60,60,bytes,62234910.0,ns,1882692
encode/all_bad/checked,yore 0.1.0,60,60,bytes,63163261.0,ns,1912576
encode/all_bad/checked,yore 0.1.0,60,60,bytes,64719484.0,ns,1942460
encode/all_bad/checked,yore 0.1.0,60,60,bytes,64910718.0,ns,1972344
encode/all_bad/checked,yore 0.1.0,60,60,bytes,66289507.0,ns,2002228
encode/all_bad/checked,yore 0.1.0,60,60,bytes,67232720.0,ns,2032112
encode/all_bad/checked,yore 0.1.0,60,60,bytes,68607441.0,ns,2061996
encode/all_bad/checked,yore 0.1.0,60,60,bytes,69315445.0,ns,2091880
encode/all_bad/checked,yore 0.1.0,60,60,bytes,70279720.0,ns,2121764
encode/all_bad/checked,yore 0.1.0,60,60,bytes,71128960.0,ns,2151648
encode/all_bad/checked,yore 0.1.0,60,60,bytes,72345835.0,ns,2181532
encode/all_bad/checked,yore 0.1.0,60,60,bytes,73212948.0,ns,2211416
encode/all_bad/checked,yore 0.1.0,60,60,bytes,74381962.0,ns,2241300
encode/all_bad/checked,yore 0.1.0,60,60,bytes,75082127.0,ns,2271184
encode/all_bad/checked,yore 0.1.0,60,60,bytes,76352759.0,ns,2301068
encode/all_bad/checked,yore 0.1.0,60,60,bytes,77223750.0,ns,2330952
encode/all_bad/checked,yore 0.1.0,60,60,bytes,77763208.0,ns,2360836
encode/all_bad/checked,yore 0.1.0,60,60,bytes,79133295.0,ns,2390720
