group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,1048363.0,ns,2012
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,1977342.0,ns,4024
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,2967214.0,ns,6036
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,3949253.0,ns,8048
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,5022116.0,ns,10060
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,5926097.0,ns,12072
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,7294438.0,ns,14084
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,7988365.0,ns,16096
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,8948515.0,ns,18108
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,9875106.0,ns,20120
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,10858634.0,ns,22132
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,11983430.0,ns,24144
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,12862777.0,ns,26156
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,13880305.0,ns,28168
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,14813186.0,ns,30180
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,15834986.0,ns,32192
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,16849373.0,ns,34204
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,17788285.0,ns,36216
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,18759303.0,ns,38228
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,19800874.0,ns,40240
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,20786384.0,ns,42252
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,21824756.0,ns,44264
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,22730493.0,ns,46276
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,23741054.0,ns,48288
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,24677610.0,ns,50300
encode/all_bad/lossy,oem_cp 1.1.0,240,240,bytes,25859017.0,ns,52312
