group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,1010331.0,ns,6414
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,1964846.0,ns,12828
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,2948361.0,ns,19242
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,3944618.0,ns,25656
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,4958036.0,ns,32070
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,6015431.0,ns,38484
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,7346946.0,ns,44898
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,8093808.0,ns,51312
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,8885916.0,ns,57726
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,9861052.0,ns,64140
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,10939566.0,ns,70554
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,11911191.0,ns,76968
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,12830688.0,ns,83382
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,13812940.0,ns,89796
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,14843833.0,ns,96210
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,15857425.0,ns,102624
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,16770856.0,ns,109038
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,17873438.0,ns,115452
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,18778904.0,ns,121866
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,19800294.0,ns,128280
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,20700228.0,ns,134694
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,22289233.0,ns,141108
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,22843634.0,ns,147522
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,23655894.0,ns,153936
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,24682154.0,ns,160350
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,25736968.0,ns,166764
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,26674737.0,ns,173178
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,27623752.0,ns,179592
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,28663069.0,ns,186006
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,29604298.0,ns,192420
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,30626272.0,ns,198834
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,31734485.0,ns,205248
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,32608493.0,ns,211662
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,33602349.0,ns,218076
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,34644843.0,ns,224490
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,35589956.0,ns,230904
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,36554522.0,ns,237318
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,37646684.0,ns,243732
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,38619426.0,ns,250146
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,39552229.0,ns,256560
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,41043568.0,ns,262974
encode/all_bad/lossy,oem_cp 1.1.0,60,60,bytes,41563891.0,ns,269388
