group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,987079.0,ns,2588
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,1976448.0,ns,5176
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,2964349.0,ns,7764
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,3950292.0,ns,10352
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,4958670.0,ns,12940
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,5954935.0,ns,15528
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,7274419.0,ns,18116
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,7976402.0,ns,20704
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,8914841.0,ns,23292
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,9876760.0,ns,25880
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,10862682.0,ns,28468
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,11890618.0,ns,31056
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,12873835.0,ns,33644
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,13824076.0,ns,36232
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,14801568.0,ns,38820
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,15795037.0,ns,41408
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,16873443.0,ns,43996
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,17802803.0,ns,46584
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,18811888.0,ns,49172
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,19744412.0,ns,51760
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,20745286.0,ns,54348
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,21745368.0,ns,56936
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,22691716.0,ns,59524
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,23756643.0,ns,62112
encode/all_bad/lossy,rust-encoding 0.2.33,60,60,bytes,24783942.0,ns,64700
