group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,1092679.0,ns,182
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,1971991.0,ns,364
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,3260102.0,ns,546
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,4611171.0,ns,728
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,5162114.0,ns,910
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,5997969.0,ns,1092
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,6910100.0,ns,1274
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,7897093.0,ns,1456
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,8886609.0,ns,1638
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,9870001.0,ns,1820
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,10909415.0,ns,2002
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,11847381.0,ns,2184
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,12865775.0,ns,2366
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,13918697.0,ns,2548
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,14812165.0,ns,2730
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,15804586.0,ns,2912
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,16874849.0,ns,3094
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,17829186.0,ns,3276
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,18765362.0,ns,3458
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,19778713.0,ns,3640
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,20740561.0,ns,3822
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,21755675.0,ns,4004
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,22834887.0,ns,4186
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,23707593.0,ns,4368
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,24696170.0,ns,4550
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,25739569.0,ns,4732
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,26772971.0,ns,4914
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,27746070.0,ns,5096
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,28681606.0,ns,5278
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,29690109.0,ns,5460
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,30652535.0,ns,5642
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,31820645.0,ns,5824
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,32634424.0,ns,6006
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,33789641.0,ns,6188
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,34726072.0,ns,6370
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,35620117.0,ns,6552
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,36546725.0,ns,6734
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,37676633.0,ns,6916
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,38646296.0,ns,7098
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,39563866.0,ns,7280
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,40531952.0,ns,7462
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,41521154.0,ns,7644
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,42452732.0,ns,7826
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,43464411.0,ns,8008
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,44618871.0,ns,8190
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,45415991.0,ns,8372
encode/all_bad/lossy,rust-encoding 0.2.33,960,960,bytes,46547710.0,ns,8554
