group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,1020798.0,ns,6540
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,1978746.0,ns,13080
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,2971327.0,ns,19620
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,3974704.0,ns,26160
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,4968868.0,ns,32700
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,5879903.0,ns,39240
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,7329568.0,ns,45780
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,8009460.0,ns,52320
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,8963871.0,ns,58860
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,9910698.0,ns,65400
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,10900922.0,ns,71940
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,11902482.0,ns,78480
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,12933005.0,ns,85020
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,13824629.0,ns,91560
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,14831350.0,ns,98100
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,15786804.0,ns,104640
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,16884175.0,ns,111180
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,17896927.0,ns,117720
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,18832406.0,ns,124260
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,19712843.0,ns,130800
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,20805924.0,ns,137340
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,21754713.0,ns,143880
encode/all_bad/lossy,yore 0.1.0,120,120,bytes,22761584.0,ns,150420
