group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,1012847.0,ns,12440
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,1946618.0,ns,24880
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,2948685.0,ns,37320
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,3969096.0,ns,49760
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,4920254.0,ns,62200
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,5901921.0,ns,74640
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,7277392.0,ns,87080
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,8048955.0,ns,99520
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,9032817.0,ns,111960
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,9859012.0,ns,124400
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,10853130.0,ns,136840
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,12251007.0,ns,149280
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,12993425.0,ns,161720
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,13946992.0,ns,174160
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,14775779.0,ns,186600
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,15878477.0,ns,199040
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,16663568.0,ns,211480
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,17769284.0,ns,223920
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,18849498.0,ns,236360
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,19745014.0,ns,248800
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,20643309.0,ns,261240
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,21700913.0,ns,273680
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,22692052.0,ns,286120
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,23822234.0,ns,298560
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,24660776.0,ns,311000
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,25621323.0,ns,323440
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,26658065.0,ns,335880
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,27608253.0,ns,348320
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,28712461.0,ns,360760
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,29572739.0,ns,373200
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,30714848.0,ns,385640
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,31676553.0,ns,398080
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,32689882.0,ns,410520
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,33596549.0,ns,422960
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,34664717.0,ns,435400
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,35745037.0,ns,447840
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,37213760.0,ns,460280
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,37295967.0,ns,472720
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,38596945.0,ns,485160
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,39627522.0,ns,497600
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,40466991.0,ns,510040
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,41474783.0,ns,522480
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,42564445.0,ns,534920
encode/all_bad/lossy,yore 0.1.0,60,60,bytes,43549792.0,ns,547360
