group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,oem_cp 1.1.0,20,20,bytes,1027431.0,ns,8637
encode/ascii,oem_cp 1.1.0,20,20,bytes,2003527.0,ns,17274
encode/ascii,oem_cp 1.1.0,20,20,bytes,2977409.0,ns,25911
encode/ascii,oem_cp 1.1.0,20,20,bytes,3913528.0,ns,34548
encode/ascii,oem_cp 1.1.0,20,20,bytes,5009793.0,ns,43185
encode/ascii,oem_cp 1.1.0,20,20,bytes,6019372.0,ns,51822
encode/ascii,oem_cp 1.1.0,20,20,bytes,7329593.0,ns,60459
encode/ascii,oem_cp 1.1.0,20,20,bytes,7900861.0,ns,69096
encode/ascii,oem_cp 1.1.0,20,20,bytes,9012961.0,ns,77733
encode/ascii,oem_cp 1.1.0,20,20,bytes,9869114.0,ns,86370
encode/ascii,oem_cp 1.1.0,20,20,bytes,11082261.0,ns,95007
encode/ascii,oem_cp 1.1.0,20,20,bytes,11996529.0,ns,103644
encode/ascii,oem_cp 1.1.0,20,20,bytes,12887460.0,ns,112281
encode/ascii,oem_cp 1.1.0,20,20,bytes,13758973.0,ns,120918
encode/ascii,oem_cp 1.1.0,20,20,bytes,14777636.0,ns,129555
encode/ascii,oem_cp 1.1.0,20,20,bytes,16095317.0,ns,138192
encode/ascii,oem_cp 1.1.0,20,20,bytes,16693971.0,ns,146829
encode/ascii,oem_cp 1.1.0,20,20,bytes,17700647.0,ns,155466
encode/ascii,oem_cp 1.1.0,20,20,bytes,18646054.0,ns,164103
encode/ascii,oem_cp 1.1.0,20,20,bytes,19928242.0,ns,172740
encode/ascii,oem_cp 1.1.0,20,20,bytes,20805494.0,ns,181377
encode/ascii,oem_cp 1.1.0,20,20,bytes,21639147.0,ns,190014
encode/ascii,oem_cp 1.1.0,20,20,bytes,22883151.0,ns,198651
encode/ascii,oem_cp 1.1.0,20,20,bytes,23733173.0,ns,207288
encode/ascii,oem_cp 1.1.0,20,20,bytes,24903903.0,ns,215925
encode/ascii,oem_cp 1.1.0,20,20,bytes,25546583.0,ns,224562
encode/ascii,oem_cp 1.1.0,20,20,bytes,26897799.0,ns,233199
encode/ascii,oem_cp 1.1.0,20,20,bytes,27535932.0,ns,241836
encode/ascii,oem_cp 1.1.0,20,20,bytes,28422073.0,ns,250473
encode/ascii,oem_cp 1.1.0,20,20,bytes,29712591.0,ns,259110
encode/ascii,oem_cp 1.1.0,20,20,bytes,30668182.0,ns,267747
encode/ascii,oem_cp 1.1.0,20,20,bytes,31692134.0,ns,276384
encode/ascii,oem_cp 1.1.0,20,20,bytes,32265109.0,ns,285021
encode/ascii,oem_cp 1.1.0,20,20,bytes,34028497.0,ns,293658
encode/ascii,oem_cp 1.1.0,20,20,bytes,35118419.0,ns,302295
encode/ascii,oem_cp 1.1.0,20,20,bytes,35691848.0,ns,310932
encode/ascii,oem_cp 1.1.0,20,20,bytes,36494145.0,ns,319569
encode/ascii,oem_cp 1.1.0,20,20,bytes,37738671.0,ns,328206
encode/ascii,oem_cp 1.1.0,20,20,bytes,38458605.0,ns,336843
encode/ascii,oem_cp 1.1.0,20,20,bytes,39440193.0,ns,345480
encode/ascii,oem_cp 1.1.0,20,20,bytes,40530947.0,ns,354117
encode/ascii,oem_cp 1.1.0,20,20,bytes,41516025.0,ns,362754
encode/ascii,oem_cp 1.1.0,20,20,bytes,42829604.0,ns,371391
encode/ascii,oem_cp 1.1.0,20,20,bytes,43538901.0,ns,380028
encode/ascii,oem_cp 1.1.0,20,20,bytes,44789034.0,ns,388665
encode/ascii,oem_cp 1.1.0,20,20,bytes,45411544.0,ns,397302
encode/ascii,oem_cp 1.1.0,20,20,bytes,47100149.0,ns,405939
encode/ascii,oem_cp 1.1.0,20,20,bytes,47336991.0,ns,414576
encode/ascii,oem_cp 1.1.0,20,20,bytes,48620392.0,ns,423213
encode/ascii,oem_cp 1.1.0,20,20,bytes,49804688.0,ns,431850
encode/ascii,oem_cp 1.1.0,20,20,bytes,49375475.0,ns,440487
encode/ascii,oem_cp 1.1.0,20,20,bytes,51492136.0,ns,449124
encode/ascii,oem_cp 1.1.0,20,20,bytes,52140757.0,ns,457761
encode/ascii,oem_cp 1.1.0,20,20,bytes,53797299.0,ns,466398
encode/ascii,oem_cp 1.1.0,20,20,bytes,54110074.0,ns,475035
encode/ascii,oem_cp 1.1.0,20,20,bytes,55205374.0,ns,483672
encode/ascii,oem_cp 1.1.0,20,20,bytes,55954822.0,ns,492309
encode/ascii,oem_cp 1.1.0,20,20,bytes,57198458.0,ns,500946
encode/ascii,oem_cp 1.1.0,20,20,bytes,58007085.0,ns,509583
encode/ascii,oem_cp 1.1.0,20,20,bytes,59293896.0,ns,518220
encode/ascii,oem_cp 1.1.0,20,20,bytes,61025947.0,ns,526857
encode/ascii,oem_cp 1.1.0,20,20,bytes,61493464.0,ns,535494
encode/ascii,oem_cp 1.1.0,20,20,bytes,61664306.0,ns,544131
encode/ascii,oem_cp 1.1.0,20,20,bytes,63509541.0,ns,552768
encode/ascii,oem_cp 1.1.0,20,20,bytes,64143856.0,ns,561405
encode/ascii,oem_cp 1.1.0,20,20,bytes,64835070.0,ns,570042
encode/ascii,oem_cp 1.1.0,20,20,bytes,66060114.0,ns,578679
encode/ascii,oem_cp 1.1.0,20,20,bytes,67195640.0,ns,587316
encode/ascii,oem_cp 1.1.0,20,20,bytes,67983838.0,ns,595953
encode/ascii,oem_cp 1.1.0,20,20,bytes,70207740.0,ns,604590
encode/ascii,oem_cp 1.1.0,20,20,bytes,69369033.0,ns,613227
encode/ascii,oem_cp 1.1.0,20,20,bytes,71013180.0,ns,621864
encode/ascii,oem_cp 1.1.0,20,20,bytes,72398150.0,ns,630501
encode/ascii,oem_cp 1.1.0,20,20,bytes,73243963.0,ns,639138
encode/ascii,oem_cp 1.1.0,20,20,bytes,74436632.0,ns,647775
encode/ascii,oem_cp 1.1.0,20,20,bytes,75158116.0,ns,656412
encode/ascii,oem_cp 1.1.0,20,20,bytes,76281968.0,ns,665049
encode/ascii,oem_cp 1.1.0,20,20,bytes,77311120.0,ns,673686
encode/ascii,oem_cp 1.1.0,20,20,bytes,78348050.0,ns,682323
encode/ascii,oem_cp 1.1.0,20,20,bytes,79413232.0,ns,690960
encode/ascii,oem_cp 1.1.0,20,20,bytes,80289524.0,ns,699597
encode/ascii,oem_cp 1.1.0,20,20,bytes,80750245.0,ns,708234
encode/ascii,oem_cp 1.1.0,20,20,bytes,82667675.0,ns,716871
encode/ascii,oem_cp 1.1.0,20,20,bytes,83674541.0,ns,725508
encode/ascii,oem_cp 1.1.0,20,20,bytes,84922876.0,ns,734145
encode/ascii,oem_cp 1.1.0,20,20,bytes,85307879.0,ns,742782
encode/ascii,oem_cp 1.1.0,20,20,bytes,85684413.0,ns,751419
encode/ascii,oem_cp 1.1.0,20,20,bytes,87935882.0,ns,760056
encode/ascii,oem_cp 1.1.0,20,20,bytes,86687399.0,ns,768693
encode/ascii,oem_cp 1.1.0,20,20,bytes,88850339.0,ns,777330
encode/ascii,oem_cp 1.1.0,20,20,bytes,90172864.0,ns,785967
encode/ascii,oem_cp 1.1.0,20,20,bytes,91848704.0,ns,794604
encode/ascii,oem_cp 1.1.0,20,20,bytes,91738360.0,ns,803241
encode/ascii,oem_cp 1.1.0,20,20,bytes,92936764.0,ns,811878
encode/ascii,oem_cp 1.1.0,20,20,bytes,94032466.0,ns,820515
encode/ascii,oem_cp 1.1.0,20,20,bytes,95262051.0,ns,829152
encode/ascii,oem_cp 1.1.0,20,20,bytes,96470312.0,ns,837789
encode/ascii,oem_cp 1.1.0,20,20,bytes,97356801.0,ns,846426
encode/ascii,oem_cp 1.1.0,20,20,bytes,98767010.0,ns,855063
encode/ascii,oem_cp 1.1.0,20,20,bytes,98925406.0,ns,863700
