group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,oem_cp 1.1.0,80,80,bytes,1030197.0,ns,4232
encode/ascii,oem_cp 1.1.0,80,80,bytes,1984421.0,ns,8464
encode/ascii,oem_cp 1.1.0,80,80,bytes,2959921.0,ns,12696
encode/ascii,oem_cp 1.1.0,80,80,bytes,3932787.0,ns,16928
encode/ascii,oem_cp 1.1.0,80,80,bytes,4923058.0,ns,21160
encode/ascii,oem_cp 1.1.0,80,80,bytes,5953275.0,ns,25392
encode/ascii,oem_cp 1.1.0,80,80,bytes,7943317.0,ns,29624
encode/ascii,oem_cp 1.1.0,80,80,bytes,7841780.0,ns,33856
encode/ascii,oem_cp 1.1.0,80,80,bytes,8900279.0,ns,38088
encode/ascii,oem_cp 1.1.0,80,80,bytes,9882121.0,ns,42320
encode/ascii,oem_cp 1.1.0,80,80,bytes,10911820.0,ns,46552
encode/ascii,oem_cp 1.1.0,80,80,bytes,11928261.0,ns,50784
encode/ascii,oem_cp 1.1.0,80,80,bytes,12842334.0,ns,55016
encode/ascii,oem_cp 1.1.0,80,80,bytes,13790118.0,ns,59248
encode/ascii,oem_cp 1.1.0,80,80,bytes,14879879.0,ns,63480
encode/ascii,oem_cp 1.1.0,80,80,bytes,15790012.0,ns,67712
encode/ascii,oem_cp 1.1.0,80,80,bytes,16685260.0,ns,71944
encode/ascii,oem_cp 1.1.0,80,80,bytes,17645393.0,ns,76176
encode/ascii,oem_cp 1.1.0,80,80,bytes,18870155.0,ns,80408
encode/ascii,oem_cp 1.1.0,80,80,bytes,19793278.0,ns,84640
encode/ascii,oem_cp 1.1.0,80,80,bytes,20716322.0,ns,88872
encode/ascii,oem_cp 1.1.0,80,80,bytes,21848842.0,ns,93104
encode/ascii,oem_cp 1.1.0,80,80,bytes,22915474.0,ns,97336
encode/ascii,oem_cp 1.1.0,80,80,bytes,23964691.0,ns,101568
encode/ascii,oem_cp 1.1.0,80,80,bytes,24651861.0,ns,105800
encode/ascii,oem_cp 1.1.0,80,80,bytes,25702977.0,ns,110032
encode/ascii,oem_cp 1.1.0,80,80,bytes,26861446.0,ns,114264
encode/ascii,oem_cp 1.1.0,80,80,bytes,27565793.0,ns,118496
encode/ascii,oem_cp 1.1.0,80,80,bytes,29015960.0,ns,122728
encode/ascii,oem_cp 1.1.0,80,80,bytes,29725445.0,ns,126960
encode/ascii,oem_cp 1.1.0,80,80,bytes,30956332.0,ns,131192
encode/ascii,oem_cp 1.1.0,80,80,bytes,31682820.0,ns,135424
encode/ascii,oem_cp 1.1.0,80,80,bytes,32563426.0,ns,139656
encode/ascii,oem_cp 1.1.0,80,80,bytes,33567806.0,ns,143888
encode/ascii,oem_cp 1.1.0,80,80,bytes,34506052.0,ns,148120
encode/ascii,oem_cp 1.1.0,80,80,bytes,35376894.0,ns,152352
encode/ascii,oem_cp 1.1.0,80,80,bytes,36692101.0,ns,156584
encode/ascii,oem_cp 1.1.0,80,80,bytes,37494869.0,ns,160816
encode/ascii,oem_cp 1.1.0,80,80,bytes,38706357.0,ns,165048
encode/ascii,oem_cp 1.1.0,80,80,bytes,39495559.0,ns,169280
encode/ascii,oem_cp 1.1.0,80,80,bytes,40484071.0,ns,173512
encode/ascii,oem_cp 1.1.0,80,80,bytes,41577149.0,ns,177744
encode/ascii,oem_cp 1.1.0,80,80,bytes,42595929.0,ns,181976
encode/ascii,oem_cp 1.1.0,80,80,bytes,43387892.0,ns,186208
encode/ascii,oem_cp 1.1.0,80,80,bytes,44866368.0,ns,190440
encode/ascii,oem_cp 1.1.0,80,80,bytes,45628187.0,ns,194672
encode/ascii,oem_cp 1.1.0,80,80,bytes,46402314.0,ns,198904
encode/ascii,oem_cp 1.1.0,80,80,bytes,47448255.0,ns,203136
encode/ascii,oem_cp 1.1.0,80,80,bytes,48353669.0,ns,207368
encode/ascii,oem_cp 1.1.0,80,80,bytes,49593821.0,ns,211600
encode/ascii,oem_cp 1.1.0,80,80,bytes,50507297.0,ns,215832
encode/ascii,oem_cp 1.1.0,80,80,bytes,51590703.0,ns,220064
encode/ascii,oem_cp 1.1.0,80,80,bytes,52418923.0,ns,224296
encode/ascii,oem_cp 1.1.0,80,80,bytes,53311993.0,ns,228528
encode/ascii,oem_cp 1.1.0,80,80,bytes,54260778.0,ns,232760
encode/ascii,oem_cp 1.1.0,80,80,bytes,55396438.0,ns,236992
encode/ascii,oem_cp 1.1.0,80,80,bytes,56466839.0,ns,241224
encode/ascii,oem_cp 1.1.0,80,80,bytes,57374205.0,ns,245456
encode/ascii,oem_cp 1.1.0,80,80,bytes,58321700.0,ns,249688
encode/ascii,oem_cp 1.1.0,80,80,bytes,59512662.0,ns,253920
encode/ascii,oem_cp 1.1.0,80,80,bytes,60134461.0,ns,258152
encode/ascii,oem_cp 1.1.0,80,80,bytes,61500513.0,ns,262384
encode/ascii,oem_cp 1.1.0,80,80,bytes,61681077.0,ns,266616
encode/ascii,oem_cp 1.1.0,80,80,bytes,63642178.0,ns,270848
encode/ascii,oem_cp 1.1.0,80,80,bytes,64873738.0,ns,275080
encode/ascii,oem_cp 1.1.0,80,80,bytes,65249706.0,ns,279312
encode/ascii,oem_cp 1.1.0,80,80,bytes,66502301.0,ns,283544
encode/ascii,oem_cp 1.1.0,80,80,bytes,67638188.0,ns,287776
encode/ascii,oem_cp 1.1.0,80,80,bytes,68121810.0,ns,292008
encode/ascii,oem_cp 1.1.0,80,80,bytes,69050268.0,ns,296240
encode/ascii,oem_cp 1.1.0,80,80,bytes,70496099.0,ns,300472
encode/ascii,oem_cp 1.1.0,80,80,bytes,71144113.0,ns,304704
encode/ascii,oem_cp 1.1.0,80,80,bytes,72623959.0,ns,308936
encode/ascii,oem_cp 1.1.0,80,80,bytes,73675016.0,ns,313168
encode/ascii,oem_cp 1.1.0,80,80,bytes,74455124.0,ns,317400
encode/ascii,oem_cp 1.1.0,80,80,bytes,75253428.0,ns,321632
encode/ascii,oem_cp 1.1.0,80,80,bytes,76300161.0,ns,325864
encode/ascii,oem_cp 1.1.0,80,80,bytes,77509455.0,ns,330096
encode/ascii,oem_cp 1.1.0,80,80,bytes,77738924.0,ns,334328
encode/ascii,oem_cp 1.1.0,80,80,bytes,79289302.0,ns,338560
encode/ascii,oem_cp 1.1.0,80,80,bytes,80352413.0,ns,342792
encode/ascii,oem_cp 1.1.0,80,80,bytes,81513506.0,ns,347024
encode/ascii,oem_cp 1.1.0,80,80,bytes,81899558.0,ns,351256
