group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,rust-encoding 0.2.33,20,20,bytes,1149063.0,ns,15948
encode/ascii,rust-encoding 0.2.33,20,20,bytes,1981809.0,ns,31896
encode/ascii,rust-encoding 0.2.33,20,20,bytes,3103754.0,ns,47844
encode/ascii,rust-encoding 0.2.33,20,20,bytes,4220696.0,ns,63792
encode/ascii,rust-encoding 0.2.33,20,20,bytes,5052024.0,ns,79740
encode/ascii,rust-encoding 0.2.33,20,20,bytes,6000547.0,ns,95688
encode/ascii,rust-encoding 0.2.33,20,20,bytes,6921278.0,ns,111636
encode/ascii,rust-encoding 0.2.33,20,20,bytes,7883666.0,ns,127584
encode/ascii,rust-encoding 0.2.33,20,20,bytes,8970234.0,ns,143532
encode/ascii,rust-encoding 0.2.33,20,20,bytes,9902925.0,ns,159480
encode/ascii,rust-encoding 0.2.33,20,20,bytes,10894287.0,ns,175428
encode/ascii,rust-encoding 0.2.33,20,20,bytes,11881517.0,ns,191376
encode/ascii,rust-encoding 0.2.33,20,20,bytes,12875516.0,ns,207324
encode/ascii,rust-encoding 0.2.33,20,20,bytes,13848654.0,ns,223272
encode/ascii,rust-encoding 0.2.33,20,20,bytes,14821747.0,ns,239220
encode/ascii,rust-encoding 0.2.33,20,20,bytes,16283570.0,ns,255168
encode/ascii,rust-encoding 0.2.33,20,20,bytes,16949692.0,ns,271116
encode/ascii,rust-encoding 0.2.33,20,20,bytes,17862415.0,ns,287064
encode/ascii,rust-encoding 0.2.33,20,20,bytes,18819871.0,ns,303012
encode/ascii,rust-encoding 0.2.33,20,20,bytes,19766307.0,ns,318960
encode/ascii,rust-encoding 0.2.33,20,20,bytes,20781970.0,ns,334908
encode/ascii,rust-encoding 0.2.33,20,20,bytes,21770266.0,ns,350856
encode/ascii,rust-encoding 0.2.33,20,20,bytes,22684830.0,ns,366804
encode/ascii,rust-encoding 0.2.33,20,20,bytes,23754890.0,ns,382752
encode/ascii,rust-encoding 0.2.33,20,20,bytes,24582918.0,ns,398700
encode/ascii,rust-encoding 0.2.33,20,20,bytes,25576780.0,ns,414648
encode/ascii,rust-encoding 0.2.33,20,20,bytes,26611078.0,ns,430596
encode/ascii,rust-encoding 0.2.33,20,20,bytes,27665313.0,ns,446544
encode/ascii,rust-encoding 0.2.33,20,20,bytes,28554323.0,ns,462492
encode/ascii,rust-encoding 0.2.33,20,20,bytes,29602479.0,ns,478440
encode/ascii,rust-encoding 0.2.33,20,20,bytes,30834919.0,ns,494388
encode/ascii,rust-encoding 0.2.33,20,20,bytes,31662524.0,ns,510336
encode/ascii,rust-encoding 0.2.33,20,20,bytes,32726038.0,ns,526284
encode/ascii,rust-encoding 0.2.33,20,20,bytes,33685047.0,ns,542232
encode/ascii,rust-encoding 0.2.33,20,20,bytes,34689418.0,ns,558180
encode/ascii,rust-encoding 0.2.33,20,20,bytes,35571038.0,ns,574128
encode/ascii,rust-encoding 0.2.33,20,20,bytes,36504527.0,ns,590076
encode/ascii,rust-encoding 0.2.33,20,20,bytes,37374259.0,ns,606024
encode/ascii,rust-encoding 0.2.33,20,20,bytes,38719726.0,ns,621972
encode/ascii,rust-encoding 0.2.33,20,20,bytes,39486261.0,ns,637920
encode/ascii,rust-encoding 0.2.33,20,20,bytes,40505975.0,ns,653868
encode/ascii,rust-encoding 0.2.33,20,20,bytes,41647054.0,ns,669816
encode/ascii,rust-encoding 0.2.33,20,20,bytes,42544028.0,ns,685764
encode/ascii,rust-encoding 0.2.33,20,20,bytes,43586145.0,ns,701712
encode/ascii,rust-encoding 0.2.33,20,20,bytes,44496970.0,ns,717660
encode/ascii,rust-encoding 0.2.33,20,20,bytes,45505897.0,ns,733608
encode/ascii,rust-encoding 0.2.33,20,20,bytes,46593387.0,ns,749556
encode/ascii,rust-encoding 0.2.33,20,20,bytes,47535908.0,ns,765504
encode/ascii,rust-encoding 0.2.33,20,20,bytes,48524487.0,ns,781452
encode/ascii,rust-encoding 0.2.33,20,20,bytes,49600275.0,ns,797400
encode/ascii,rust-encoding 0.2.33,20,20,bytes,50490276.0,ns,813348
encode/ascii,rust-encoding 0.2.33,20,20,bytes,51389841.0,ns,829296
encode/ascii,rust-encoding 0.2.33,20,20,bytes,52449482.0,ns,845244
encode/ascii,rust-encoding 0.2.33,20,20,bytes,53407811.0,ns,861192
encode/ascii,rust-encoding 0.2.33,20,20,bytes,54444945.0,ns,877140
encode/ascii,rust-encoding 0.2.33,20,20,bytes,55311681.0,ns,893088
encode/ascii,rust-encoding 0.2.33,20,20,bytes,56459585.0,ns,909036
encode/ascii,rust-encoding 0.2.33,20,20,bytes,57377000.0,ns,924984
encode/ascii,rust-encoding 0.2.33,20,20,bytes,58592850.0,ns,940932
encode/ascii,rust-encoding 0.2.33,20,20,bytes,59454352.0,ns,956880
encode/ascii,rust-encoding 0.2.33,20,20,bytes,60400042.0,ns,972828
encode/ascii,rust-encoding 0.2.33,20,20,bytes,61372357.0,ns,988776
encode/ascii,rust-encoding 0.2.33,20,20,bytes,62250760.0,ns,1004724
encode/ascii,rust-encoding 0.2.33,20,20,bytes,63341668.0,ns,1020672
encode/ascii,rust-encoding 0.2.33,20,20,bytes,64467280.0,ns,1036620
encode/ascii,rust-encoding 0.2.33,20,20,bytes,65263362.0,ns,1052568
encode/ascii,rust-encoding 0.2.33,20,20,bytes,66269210.0,ns,1068516
encode/ascii,rust-encoding 0.2.33,20,20,bytes,67432843.0,ns,1084464
encode/ascii,rust-encoding 0.2.33,20,20,bytes,68340754.0,ns,1100412
encode/ascii,rust-encoding 0.2.33,20,20,bytes,69487606.0,ns,1116360
encode/ascii,rust-encoding 0.2.33,20,20,bytes,70386461.0,ns,1132308
encode/ascii,rust-encoding 0.2.33,20,20,bytes,71207206.0,ns,1148256
encode/ascii,rust-encoding 0.2.33,20,20,bytes,72456081.0,ns,1164204
encode/ascii,rust-encoding 0.2.33,20,20,bytes,73287676.0,ns,1180152
encode/ascii,rust-encoding 0.2.33,20,20,bytes,74257473.0,ns,1196100
encode/ascii,rust-encoding 0.2.33,20,20,bytes,75480666.0,ns,1212048
encode/ascii,rust-encoding 0.2.33,20,20,bytes,76054989.0,ns,1227996
encode/ascii,rust-encoding 0.2.33,20,20,bytes,78689807.0,ns,1243944
encode/ascii,rust-encoding 0.2.33,20,20,bytes,78889028.0,ns,1259892
encode/ascii,rust-encoding 0.2.33,20,20,bytes,79183306.0,ns,1275840
encode/ascii,rust-encoding 0.2.33,20,20,bytes,80200689.0,ns,1291788
encode/ascii,rust-encoding 0.2.33,20,20,bytes,80859946.0,ns,1307736
encode/ascii,rust-encoding 0.2.33,20,20,bytes,82001676.0,ns,1323684
encode/ascii,rust-encoding 0.2.33,20,20,bytes,83319189.0,ns,1339632
encode/ascii,rust-encoding 0.2.33,20,20,bytes,84335864.0,ns,1355580
encode/ascii,rust-encoding 0.2.33,20,20,bytes,85137261.0,ns,1371528
encode/ascii,rust-encoding 0.2.33,20,20,bytes,86187269.0,ns,1387476
encode/ascii,rust-encoding 0.2.33,20,20,bytes,86899068.0,ns,1403424
encode/ascii,rust-encoding 0.2.33,20,20,bytes,87975497.0,ns,1419372
encode/ascii,rust-encoding 0.2.33,20,20,bytes,89050437.0,ns,1435320
encode/ascii,rust-encoding 0.2.33,20,20,bytes,89612182.0,ns,1451268
encode/ascii,rust-encoding 0.2.33,20,20,bytes,91119092.0,ns,1467216
encode/ascii,rust-encoding 0.2.33,20,20,bytes,92004212.0,ns,1483164
encode/ascii,rust-encoding 0.2.33,20,20,bytes,93023489.0,ns,1499112
encode/ascii,rust-encoding 0.2.33,20,20,bytes,94025528.0,ns,1515060
encode/ascii,rust-encoding 0.2.33,20,20,bytes,95028149.0,ns,1531008
encode/ascii,rust-encoding 0.2.33,20,20,bytes,96041526.0,ns,1546956
encode/ascii,rust-encoding 0.2.33,20,20,bytes,96805654.0,ns,1562904
encode/ascii,rust-encoding 0.2.33,20,20,bytes,97620453.0,ns,1578852
encode/ascii,rust-encoding 0.2.33,20,20,bytes,99605138.0,ns,1594800
