group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,rust-encoding 0.2.33,40,40,bytes,1141120.0,ns,9811
encode/ascii,rust-encoding 0.2.33,40,40,bytes,1966997.0,ns,19622
encode/ascii,rust-encoding 0.2.33,40,40,bytes,3177719.0,ns,29433
encode/ascii,rust-encoding 0.2.33,40,40,bytes,4175098.0,ns,39244
encode/ascii,rust-encoding 0.2.33,40,40,bytes,5126514.0,ns,49055
encode/ascii,rust-encoding 0.2.33,40,40,bytes,5968090.0,ns,58866
encode/ascii,rust-encoding 0.2.33,40,40,bytes,6873214.0,ns,68677
encode/ascii,rust-encoding 0.2.33,40,40,bytes,7864199.0,ns,78488
encode/ascii,rust-encoding 0.2.33,40,40,bytes,8896651.0,ns,88299
encode/ascii,rust-encoding 0.2.33,40,40,bytes,9885589.0,ns,98110
encode/ascii,rust-encoding 0.2.33,40,40,bytes,10899283.0,ns,107921
encode/ascii,rust-encoding 0.2.33,40,40,bytes,11817387.0,ns,117732
encode/ascii,rust-encoding 0.2.33,40,40,bytes,12859120.0,ns,127543
encode/ascii,rust-encoding 0.2.33,40,40,bytes,13739359.0,ns,137354
encode/ascii,rust-encoding 0.2.33,40,40,bytes,14782675.0,ns,147165
encode/ascii,rust-encoding 0.2.33,40,40,bytes,15655138.0,ns,156976
encode/ascii,rust-encoding 0.2.33,40,40,bytes,16616852.0,ns,166787
encode/ascii,rust-encoding 0.2.33,40,40,bytes,17723311.0,ns,176598
encode/ascii,rust-encoding 0.2.33,40,40,bytes,18822674.0,ns,186409
encode/ascii,rust-encoding 0.2.33,40,40,bytes,19732887.0,ns,196220
encode/ascii,rust-encoding 0.2.33,40,40,bytes,20694654.0,ns,206031
encode/ascii,rust-encoding 0.2.33,40,40,bytes,21769544.0,ns,215842
encode/ascii,rust-encoding 0.2.33,40,40,bytes,22634808.0,ns,225653
encode/ascii,rust-encoding 0.2.33,40,40,bytes,23562920.0,ns,235464
encode/ascii,rust-encoding 0.2.33,40,40,bytes,24580206.0,ns,245275
encode/ascii,rust-encoding 0.2.33,40,40,bytes,25646838.0,ns,255086
encode/ascii,rust-encoding 0.2.33,40,40,bytes,26757291.0,ns,264897
encode/ascii,rust-encoding 0.2.33,40,40,bytes,27482944.0,ns,274708
encode/ascii,rust-encoding 0.2.33,40,40,bytes,28607052.0,ns,284519
encode/ascii,rust-encoding 0.2.33,40,40,bytes,29573038.0,ns,294330
encode/ascii,rust-encoding 0.2.33,40,40,bytes,30266871.0,ns,304141
encode/ascii,rust-encoding 0.2.33,40,40,bytes,31528391.0,ns,313952
encode/ascii,rust-encoding 0.2.33,40,40,bytes,32449759.0,ns,323763
encode/ascii,rust-encoding 0.2.33,40,40,bytes,33496181.0,ns,333574
encode/ascii,rust-encoding 0.2.33,40,40,bytes,34742707.0,ns,343385
encode/ascii,rust-encoding 0.2.33,40,40,bytes,36418428.0,ns,353196
encode/ascii,rust-encoding 0.2.33,40,40,bytes,36840887.0,ns,363007
encode/ascii,rust-encoding 0.2.33,40,40,bytes,37470489.0,ns,372818
encode/ascii,rust-encoding 0.2.33,40,40,bytes,38203416.0,ns,382629
encode/ascii,rust-encoding 0.2.33,40,40,bytes,39332168.0,ns,392440
encode/ascii,rust-encoding 0.2.33,40,40,bytes,40355382.0,ns,402251
encode/ascii,rust-encoding 0.2.33,40,40,bytes,42191976.0,ns,412062
