group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,yore 0.1.0,160,160,bytes,1120883.0,ns,159768
encode/ascii,yore 0.1.0,160,160,bytes,2003250.0,ns,319536
encode/ascii,yore 0.1.0,160,160,bytes,3122016.0,ns,479304
encode/ascii,yore 0.1.0,160,160,bytes,4292469.0,ns,639072
encode/ascii,yore 0.1.0,160,160,bytes,5050855.0,ns,798840
encode/ascii,yore 0.1.0,160,160,bytes,6000355.0,ns,958608
encode/ascii,yore 0.1.0,160,160,bytes,6911175.0,ns,1118376
encode/ascii,yore 0.1.0,160,160,bytes,7899384.0,ns,1278144
encode/ascii,yore 0.1.0,160,160,bytes,8890877.0,ns,1437912
encode/ascii,yore 0.1.0,160,160,bytes,9873945.0,ns,1597680
encode/ascii,yore 0.1.0,160,160,bytes,10862154.0,ns,1757448
encode/ascii,yore 0.1.0,160,160,bytes,11955477.0,ns,1917216
encode/ascii,yore 0.1.0,160,160,bytes,12836451.0,ns,2076984
encode/ascii,yore 0.1.0,160,160,bytes,13823668.0,ns,2236752
encode/ascii,yore 0.1.0,160,160,bytes,14839446.0,ns,2396520
encode/ascii,yore 0.1.0,160,160,bytes,15799130.0,ns,2556288
encode/ascii,yore 0.1.0,160,160,bytes,16788903.0,ns,2716056
encode/ascii,yore 0.1.0,160,160,bytes,17801676.0,ns,2875824
encode/ascii,yore 0.1.0,160,160,bytes,18792395.0,ns,3035592
encode/ascii,yore 0.1.0,160,160,bytes,19828311.0,ns,3195360
encode/ascii,yore 0.1.0,160,160,bytes,20763857.0,ns,3355128
encode/ascii,yore 0.1.0,160,160,bytes,21725225.0,ns,3514896
encode/ascii,yore 0.1.0,160,160,bytes,22737809.0,ns,3674664
encode/ascii,yore 0.1.0,160,160,bytes,23700666.0,ns,3834432
encode/ascii,yore 0.1.0,160,160,bytes,24688021.0,ns,3994200
encode/ascii,yore 0.1.0,160,160,bytes,25780540.0,ns,4153968
encode/ascii,yore 0.1.0,160,160,bytes,26663400.0,ns,4313736
encode/ascii,yore 0.1.0,160,160,bytes,27650373.0,ns,4473504
encode/ascii,yore 0.1.0,160,160,bytes,28693384.0,ns,4633272
encode/ascii,yore 0.1.0,160,160,bytes,29649117.0,ns,4793040
encode/ascii,yore 0.1.0,160,160,bytes,30668834.0,ns,4952808
encode/ascii,yore 0.1.0,160,160,bytes,31656354.0,ns,5112576
encode/ascii,yore 0.1.0,160,160,bytes,32861935.0,ns,5272344
encode/ascii,yore 0.1.0,160,160,bytes,33740733.0,ns,5432112
encode/ascii,yore 0.1.0,160,160,bytes,34622256.0,ns,5591880
encode/ascii,yore 0.1.0,160,160,bytes,35656773.0,ns,5751648
encode/ascii,yore 0.1.0,160,160,bytes,36593619.0,ns,5911416
encode/ascii,yore 0.1.0,160,160,bytes,37551689.0,ns,6071184
encode/ascii,yore 0.1.0,160,160,bytes,38564364.0,ns,6230952
encode/ascii,yore 0.1.0,160,160,bytes,39526693.0,ns,6390720
encode/ascii,yore 0.1.0,160,160,bytes,40595759.0,ns,6550488
encode/ascii,yore 0.1.0,160,160,bytes,41500013.0,ns,6710256
encode/ascii,yore 0.1.0,160,160,bytes,42556818.0,ns,6870024
encode/ascii,yore 0.1.0,160,160,bytes,43553648.0,ns,7029792
encode/ascii,yore 0.1.0,160,160,bytes,44435462.0,ns,7189560
encode/ascii,yore 0.1.0,160,160,bytes,45570062.0,ns,7349328
encode/ascii,yore 0.1.0,160,160,bytes,46545400.0,ns,7509096
encode/ascii,yore 0.1.0,160,160,bytes,47484353.0,ns,7668864
encode/ascii,yore 0.1.0,160,160,bytes,48489249.0,ns,7828632
encode/ascii,yore 0.1.0,160,160,bytes,49435059.0,ns,7988400
encode/ascii,yore 0.1.0,160,160,bytes,50394894.0,ns,8148168
encode/ascii,yore 0.1.0,160,160,bytes,51430287.0,ns,8307936
encode/ascii,yore 0.1.0,160,160,bytes,52366077.0,ns,8467704
encode/ascii,yore 0.1.0,160,160,bytes,53463434.0,ns,8627472
encode/ascii,yore 0.1.0,160,160,bytes,54402349.0,ns,8787240
encode/ascii,yore 0.1.0,160,160,bytes,55561691.0,ns,8947008
encode/ascii,yore 0.1.0,160,160,bytes,56337265.0,ns,9106776
encode/ascii,yore 0.1.0,160,160,bytes,57382436.0,ns,9266544
encode/ascii,yore 0.1.0,160,160,bytes,58288354.0,ns,9426312
encode/ascii,yore 0.1.0,160,160,bytes,59301701.0,ns,9586080
encode/ascii,yore 0.1.0,160,160,bytes,60344021.0,ns,9745848
encode/ascii,yore 0.1.0,160,160,bytes,61310693.0,ns,9905616
