group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/ascii,yore 0.1.0,160,160,bytes,986046.0,ns,170726
encode/ascii,yore 0.1.0,160,160,bytes,1974059.0,ns,341452
encode/ascii,yore 0.1.0,160,160,bytes,2960087.0,ns,512178
encode/ascii,yore 0.1.0,160,160,bytes,3946870.0,ns,682904
encode/ascii,yore 0.1.0,160,160,bytes,4933332.0,ns,853630
encode/ascii,yore 0.1.0,160,160,bytes,5918272.0,ns,1024356
encode/ascii,yore 0.1.0,160,160,bytes,7296181.0,ns,1195082
encode/ascii,yore 0.1.0,160,160,bytes,8211396.0,ns,1365808
encode/ascii,yore 0.1.0,160,160,bytes,9005081.0,ns,1536534
encode/ascii,yore 0.1.0,160,160,bytes,9905281.0,ns,1707260
encode/ascii,yore 0.1.0,160,160,bytes,10852118.0,ns,1877986
encode/ascii,yore 0.1.0,160,160,bytes,11898467.0,ns,2048712
encode/ascii,yore 0.1.0,160,160,bytes,12974256.0,ns,2219438
encode/ascii,yore 0.1.0,160,160,bytes,13840923.0,ns,2390164
encode/ascii,yore 0.1.0,160,160,bytes,14826038.0,ns,2560890
encode/ascii,yore 0.1.0,160,160,bytes,15810225.0,ns,2731616
encode/ascii,yore 0.1.0,160,160,bytes,16828771.0,ns,2902342
encode/ascii,yore 0.1.0,160,160,bytes,17759353.0,ns,3073068
encode/ascii,yore 0.1.0,160,160,bytes,18749728.0,ns,3243794
encode/ascii,yore 0.1.0,160,160,bytes,19814941.0,ns,3414520
encode/ascii,yore 0.1.0,160,160,bytes,20798224.0,ns,3585246
encode/ascii,yore 0.1.0,160,160,bytes,21733604.0,ns,3755972
encode/ascii,yore 0.1.0,160,160,bytes,22721508.0,ns,3926698
encode/ascii,yore 0.1.0,160,160,bytes,23842765.0,ns,4097424
encode/ascii,yore 0.1.0,160,160,bytes,24697225.0,ns,4268150
encode/ascii,yore 0.1.0,160,160,bytes,25678614.0,ns,4438876
encode/ascii,yore 0.1.0,160,160,bytes,26668064.0,ns,4609602
encode/ascii,yore 0.1.0,160,160,bytes,27648913.0,ns,4780328
encode/ascii,yore 0.1.0,160,160,bytes,28637473.0,ns,4951054
encode/ascii,yore 0.1.0,160,160,bytes,29653968.0,ns,5121780
encode/ascii,yore 0.1.0,160,160,bytes,30669579.0,ns,5292506
encode/ascii,yore 0.1.0,160,160,bytes,32030196.0,ns,5463232
encode/ascii,yore 0.1.0,160,160,bytes,33038059.0,ns,5633958
encode/ascii,yore 0.1.0,160,160,bytes,33550521.0,ns,5804684
encode/ascii,yore 0.1.0,160,160,bytes,34586587.0,ns,5975410
encode/ascii,yore 0.1.0,160,160,bytes,35543554.0,ns,6146136
encode/ascii,yore 0.1.0,160,160,bytes,36557345.0,ns,6316862
encode/ascii,yore 0.1.0,160,160,bytes,37659007.0,ns,6487588
encode/ascii,yore 0.1.0,160,160,bytes,38475054.0,ns,6658314
encode/ascii,yore 0.1.0,160,160,bytes,39605749.0,ns,6829040
encode/ascii,yore 0.1.0,160,160,bytes,40451783.0,ns,6999766
encode/ascii,yore 0.1.0,160,160,bytes,41623750.0,ns,7170492
encode/ascii,yore 0.1.0,160,160,bytes,42446957.0,ns,7341218
encode/ascii,yore 0.1.0,160,160,bytes,43553331.0,ns,7511944
encode/ascii,yore 0.1.0,160,160,bytes,44424305.0,ns,7682670
encode/ascii,yore 0.1.0,160,160,bytes,45464079.0,ns,7853396
encode/ascii,yore 0.1.0,160,160,bytes,46463106.0,ns,8024122
encode/ascii,yore 0.1.0,160,160,bytes,48153144.0,ns,8194848
encode/ascii,yore 0.1.0,160,160,bytes,48461738.0,ns,8365574
encode/ascii,yore 0.1.0,160,160,bytes,49438137.0,ns,8536300
encode/ascii,yore 0.1.0,160,160,bytes,50377480.0,ns,8707026
encode/ascii,yore 0.1.0,160,160,bytes,51334459.0,ns,8877752
encode/ascii,yore 0.1.0,160,160,bytes,52432164.0,ns,9048478
encode/ascii,yore 0.1.0,160,160,bytes,53358287.0,ns,9219204
encode/ascii,yore 0.1.0,160,160,bytes,54370098.0,ns,9389930
encode/ascii,yore 0.1.0,160,160,bytes,55334887.0,ns,9560656
encode/ascii,yore 0.1.0,160,160,bytes,56233199.0,ns,9731382
encode/ascii,yore 0.1.0,160,160,bytes,57307226.0,ns,9902108
encode/ascii,yore 0.1.0,160,160,bytes,59175775.0,ns,10072834
encode/ascii,yore 0.1.0,160,160,bytes,59573968.0,ns,10243560
encode/ascii,yore 0.1.0,160,160,bytes,60443585.0,ns,10414286
