group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,1013962.0,ns,1355
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,1971437.0,ns,2710
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,2961980.0,ns,4065
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,3940298.0,ns,5420
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,4933001.0,ns,6775
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,5921599.0,ns,8130
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,7272790.0,ns,9485
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,7989522.0,ns,10840
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,8950171.0,ns,12195
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,9894248.0,ns,13550
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,10851744.0,ns,14905
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,11848461.0,ns,16260
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,12740232.0,ns,17615
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,13867856.0,ns,18970
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,14856334.0,ns,20325
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,15872422.0,ns,21680
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,16802563.0,ns,23035
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,17764554.0,ns,24390
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,18775133.0,ns,25745
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,19782905.0,ns,27100
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,20747428.0,ns,28455
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,21740736.0,ns,29810
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,22711304.0,ns,31165
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,23714741.0,ns,32520
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,24711693.0,ns,33875
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,25782135.0,ns,35230
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,26758941.0,ns,36585
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,27722538.0,ns,37940
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,28800865.0,ns,39295
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,29664885.0,ns,40650
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,30633765.0,ns,42005
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,31602573.0,ns,43360
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,32568750.0,ns,44715
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,34264580.0,ns,46070
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,34783730.0,ns,47425
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,35552082.0,ns,48780
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,36515529.0,ns,50135
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,37557551.0,ns,51490
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,38544070.0,ns,52845
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,39486880.0,ns,54200
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,40700088.0,ns,55555
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,41560712.0,ns,56910
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,42532800.0,ns,58265
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,43549214.0,ns,59620
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,44416892.0,ns,60975
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,45635665.0,ns,62330
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,46436052.0,ns,63685
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,47949130.0,ns,65040
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,48457304.0,ns,66395
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,49458906.0,ns,67750
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,50466148.0,ns,69105
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,51475671.0,ns,70460
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,52421671.0,ns,71815
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,53361548.0,ns,73170
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,54288088.0,ns,74525
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,55298931.0,ns,75880
encode/extended/checked,oem_cp 1.1.0,384,384,bytes,56494912.0,ns,77235
