group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,1011722.0,ns,9227
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,1969084.0,ns,18454
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,2955817.0,ns,27681
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,3953758.0,ns,36908
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,4964006.0,ns,46135
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,5922649.0,ns,55362
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,7258634.0,ns,64589
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,8012589.0,ns,73816
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,8907673.0,ns,83043
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,9882200.0,ns,92270
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,11310890.0,ns,101497
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,11938924.0,ns,110724
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,13039472.0,ns,119951
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,13823042.0,ns,129178
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,14795336.0,ns,138405
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,15834362.0,ns,147632
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,16818916.0,ns,156859
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,17782312.0,ns,166086
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,18827303.0,ns,175313
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,19773185.0,ns,184540
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,20715063.0,ns,193767
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,21685513.0,ns,202994
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,22807274.0,ns,212221
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,23706008.0,ns,221448
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,24721999.0,ns,230675
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,25782030.0,ns,239902
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,26825873.0,ns,249129
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,27665059.0,ns,258356
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,28722906.0,ns,267583
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,29661250.0,ns,276810
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,30667052.0,ns,286037
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,31599148.0,ns,295264
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,32573702.0,ns,304491
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,33731155.0,ns,313718
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,34604161.0,ns,322945
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,36200543.0,ns,332172
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,36706127.0,ns,341399
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,37463921.0,ns,350626
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,38519473.0,ns,359853
encode/extended/checked,oem_cp 1.1.0,48,48,bytes,39570469.0,ns,369080
