group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,1000651.0,ns,3182
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,2000495.0,ns,6364
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,2956371.0,ns,9546
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,3938317.0,ns,12728
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,5223564.0,ns,15910
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,5912935.0,ns,19092
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,7056389.0,ns,22274
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,8163800.0,ns,25456
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,8916354.0,ns,28638
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,9961577.0,ns,31820
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,10910750.0,ns,35002
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,11973530.0,ns,38184
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,12839942.0,ns,41366
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,13834223.0,ns,44548
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,14793045.0,ns,47730
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,15805433.0,ns,50912
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,16765768.0,ns,54094
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,17767124.0,ns,57276
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,18748586.0,ns,60458
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,19863026.0,ns,63640
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,20734480.0,ns,66822
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,21796901.0,ns,70004
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,22782596.0,ns,73186
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,23749904.0,ns,76368
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,24844657.0,ns,79550
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,25699045.0,ns,82732
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,26643265.0,ns,85914
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,27753577.0,ns,89096
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,28649478.0,ns,92278
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,29635329.0,ns,95460
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,30757491.0,ns,98642
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,31670589.0,ns,101824
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,32828606.0,ns,105006
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,33638913.0,ns,108188
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,35295848.0,ns,111370
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,35565942.0,ns,114552
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,36544844.0,ns,117734
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,37580451.0,ns,120916
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,38555351.0,ns,124098
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,39660989.0,ns,127280
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,40568625.0,ns,130462
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,41472812.0,ns,133644
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,42627208.0,ns,136826
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,43381026.0,ns,140008
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,44397183.0,ns,143190
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,45604010.0,ns,146372
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,46423136.0,ns,149554
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,47325014.0,ns,152736
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,48765781.0,ns,155918
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,49734237.0,ns,159100
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,50487621.0,ns,162282
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,51342324.0,ns,165464
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,52274820.0,ns,168646
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,53289256.0,ns,171828
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,54258872.0,ns,175010
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,55508948.0,ns,178192
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,56517549.0,ns,181374
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,57205038.0,ns,184556
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,58159936.0,ns,187738
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,59427131.0,ns,190920
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,61134850.0,ns,194102
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,61267476.0,ns,197284
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,62301089.0,ns,200466
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,63369326.0,ns,203648
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,64399650.0,ns,206830
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,65084195.0,ns,210012
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,66145425.0,ns,213194
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,67282109.0,ns,216376
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,68112308.0,ns,219558
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,69965469.0,ns,222740
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,70300311.0,ns,225922
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,71389703.0,ns,229104
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,72203210.0,ns,232286
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,73126572.0,ns,235468
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,74016515.0,ns,238650
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,75166357.0,ns,241832
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,75960598.0,ns,245014
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,77735382.0,ns,248196
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,78834557.0,ns,251378
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,78929636.0,ns,254560
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,80146351.0,ns,257742
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,81138798.0,ns,260924
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,81901881.0,ns,264106
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,82949501.0,ns,267288
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,84530132.0,ns,270470
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,85271272.0,ns,273652
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,86337466.0,ns,276834
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,87062608.0,ns,280016
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,87942039.0,ns,283198
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,88766964.0,ns,286380
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,90054409.0,ns,289562
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,91550641.0,ns,292744
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,92306659.0,ns,295926
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,92858933.0,ns,299108
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,94114655.0,ns,302290
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,94832319.0,ns,305472
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,95949734.0,ns,308654
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,96829125.0,ns,311836
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,99436174.0,ns,315018
encode/extended/checked,rust-encoding 0.2.33,192,192,bytes,98777118.0,ns,318200
